,MRT Name,Latitude,Longitude
43,BUKIT BATOK MRT STATION,1.34903331201636,103.749566478309
44,OASIS LRT STATION,1.40228667971123,103.912727352412
45,NIBONG LRT STATION,1.41185447744238,103.900339452055
46,MERIDIAN LRT STATION,1.3969120498774,103.908950224489
47,BUKIT GOMBAK MRT STATION,1.35861159094192,103.751790910733
48,EUNOS MRT STATION,1.31978354916088,103.903225807255
49,CHINESE GARDEN MRT STATION,1.34224494823931,103.732766601621
50,KADALOOR LRT STATION,1.39950910636258,103.916574974234
51,CHENG LIM LRT STATION,1.39627763344324,103.893797181731
52,SAM KEE LRT STATION,1.40961268528804,103.904831550608
53,KRANJI MRT STATION,1.42508698073648,103.762137459497
54,ANG MO KIO MRT STATION,1.36942855699191,103.849455226442
55,RIVIERA LRT STATION,1.39451978540251,103.916169381157
56,BUKIT PANJANG LRT DEPOT,1.37792694616982,103.763102931112
57,BANGKIT LRT STATION,1.38002223010088,103.772647370452
58,PASIR PANJANG MRT STATION,1.27621352233766,103.791350313288
59,HOLLAND VILLAGE MRT STATION,1.31224029631595,103.796399122407
60,LABRADOR PARK MRT STATION,1.2722270505362,103.802744505566
61,BOTANIC GARDENS MRT STATION,1.32211373558877,103.814984510627
62,ONE-NORTH MRT STATION,1.29968953488969,103.787412789536
63,KENT RIDGE MRT STATION,1.29353698622126,103.784572366867
64,HAW PAR VILLA MRT STATION,1.28195688684898,103.781988990137
65,MARINA BAY MRT STATION,1.27631114381584,103.854604975361
66,KING ALBERT PARK MRT STATION,1.33566161262214,103.783399113441
67,LITTLE INDIA MRT STATION,1.30680019696174,103.849647059738
68,ROCHOR MRT STATION,1.30385218527656,103.852769428884
69,SENJA LRT STATION,1.38272547134453,103.76234425472
70,MOUNTBATTEN MRT STATION,1.30620190525331,103.882528081052
71,ULU PANDAN DEPOT,1.3332081740364,103.760089229617
72,CHOA CHU KANG MRT STATION,1.38536316540225,103.744370779756
73,BOON KENG MRT STATION,1.31993957653291,103.862052698446
74,BARTLEY MRT STATION,1.34250117805245,103.880177899184
75,SEGAR LRT STATION,1.38778508663361,103.769599685249
76,GALI BATU DEPOT,1.39752646765467,103.75552362984
77,HILLVIEW MRT STATION,1.36234486803558,103.767418254007
78,BEAUTY WORLD MRT STATION,1.34090149001429,103.775746717778
79,BUKIT PANJANG MRT STATION,1.37956121236613,103.761188866252
80,CASHEW MRT STATION,1.36981544925552,103.76443921414
81,JOO KOON MRT STATION,1.32769436492908,103.678085068438
82,YEW TEE MRT STATION,1.39729771118639,103.74735767326
83,YISHUN MRT STATION,1.42944308477331,103.835005047246
84,YIO CHU KANG MRT STATION,1.38149882492597,103.845170704861
85,WOODLEIGH MRT STATION,1.33919004519388,103.87081830915
86,WOODLANDS MRT STATION,1.43605761708128,103.787938777173
87,UPPER CHANGI MRT STATION,1.34173977444995,103.961472788634
88,TELOK AYER MRT STATION,1.28206894769394,103.848648781083
89,TONGKANG LRT STATION,1.38934794658941,103.885844150116
90,UBI MRT STATION,1.32997425973974,103.899226655439
91,TOA PAYOH MRT STATION,1.33259672794159,103.847577286075
92,TIONG BAHRU MRT STATION,1.28610253588403,103.827445112691
93,THANGGAM LRT STATION,1.39731815581938,103.875635154729
94,PROMENADE MRT STATION,1.29399798636232,103.860350000188
95,BRAS BASAH MRT STATION,1.29686168649656,103.850667371637
96,NICOLL HIGHWAY MRT STATION,1.29956843029404,103.863977721184
97,POTONG PASIR MRT STATION,1.3318797140041,103.869057877586
98,LAKESIDE MRT STATION,1.34425911493819,103.720949087456
99,SAMUDERA LRT STATION,1.41590172160383,103.902156317163
100,RANGGUNG LRT STATION,1.38423355918277,103.897194667804
101,SEMBAWANG MRT STATION,1.44905082158502,103.820046140211
102,PUNGGOL LRT STATION,1.40519470149606,103.902411911915
103,KANGKAR LRT STATION,1.38395911688913,103.90222537044
104,PAYA LEBAR MRT STATION,1.31719911972353,103.8923648823
105,PIONEER MRT STATION,1.33758701106708,103.697321608474
106,BUGIS MRT STATION,1.30046508509717,103.855706730933
107,NEWTON MRT STATION,1.3123189224097,103.837984594021
108,SENGKANG LRT DEPOT,1.38987312371034,103.883852884646
109,BUONA VISTA MRT STATION,1.3072237082044,103.790253514502
110,OUTRAM PARK MRT STATION,1.27973970679335,103.839513521005
111,MARINA BAY MRT STATION,1.27631114381584,103.854604975361
112,DHOBY GHAUT MRT STATION,1.29865522366188,103.846194160829
113,CHINATOWN MRT STATION,1.28422391919085,103.845143798953
114,EXPO MRT STATION,1.33538252614956,103.962374747451
115,RAFFLES PLACE MRT STATION,1.28393326207164,103.851463066756
116,KIM CHUAN DEPOT,1.34182174688306,103.889068545468
117,TUAS CRESCENT MRT STATION,1.32102695598684,103.649078235627
118,TUAS LINK MRT STATION,1.34088242451105,103.636991425128
119,TUAS WEST ROAD MRT STATION,1.32998504653102,103.639616648771
120,LITTLE INDIA MRT STATION,1.30680019696174,103.849647059738
121,BOTANIC GARDENS MRT STATION,1.32211373558877,103.814984510627
122,PROMENADE MRT STATION,1.29399798636232,103.860350000188
123,CITY HALL MRT STATION,1.29298990700923,103.852542630339
124,OUTRAM PARK MRT STATION,1.27973970679335,103.839513521005
125,BISHAN MRT STATION,1.35131580146658,103.84914026532
126,SENGKANG MRT DEPOT,1.39169462601522,103.895484694279
127,EXPO MRT STATION,1.33538252614956,103.962374747451
128,FERNVALE LRT STATION,1.39188589234766,103.87630862552
129,CHANGI DEPOT,1.33044188410958,103.956459329839
130,PUNGGOL MRT STATION,1.41492733388605,103.910166388177
131,BUANGKOK MRT STATION,1.38287001971672,103.893122569706
132,BAKAU LRT STATION,1.38799431054768,103.905415300171
133,FARMWAY LRT STATION,1.39717019591821,103.889304824196
134,COMMONWEALTH MRT STATION,1.30250199924325,103.798228523336
135,KUPANG LRT STATION,1.39821283031379,103.881256222255
136,DAMAI LRT STATION,1.40523483636957,103.908603542566
137,QUEENSTOWN MRT STATION,1.29455085184931,103.806077155982
138,KALLANG MRT STATION,1.31148890998818,103.871386541754
