,Description,Lat,Lon,RackType,RackCount,ShelterIndicator,geometry,within
42,JALAN RUMAH TINGGI BLOCK 39_YB,1.288733454198105,103.8099967963963,Yellow Box,14,N,POINT (103.8099967963963 1.288733454198105),ALEXANDRA HILL
43,MEI LING STREET BLOCK 154_YB,1.293581396754269,103.80393394309333,Yellow Box,13,N,POINT (103.80393394309333 1.293581396754269),MEI CHIN
44,MEI LING STREET BLOCK 157_YB,1.2930722588287749,103.80397046829502,Yellow Box,14,N,POINT (103.80397046829502 1.2930722588287749),MEI CHIN
45,MEI LING STREET BLOCK 162_YB,1.2922227779583226,103.80317381561336,Yellow Box,12,N,POINT (103.80317381561336 1.2922227779583226),MEI CHIN
46,REDHILL ROAD BLOCK 72_YB,1.287494328609755,103.8163974841052,Yellow Box,16,N,POINT (103.8163974841052 1.287494328609755),REDHILL
47,RUMAH TINGGI ECO PARK ENTRANCE_YB,1.2882422834744969,103.80691370671512,Yellow Box,15,N,POINT (103.80691370671512 1.2882422834744969),ALEXANDRA HILL
48,RUMAH TINGGI ECO PARK EXIT 1_YB,1.289745234527912,103.81105795516515,Yellow Box,15,N,POINT (103.81105795516515 1.289745234527912),ALEXANDRA HILL
49,RUMAH TINGGI ECO PARK EXIT 2_YB,1.2896145486359338,103.81129059774145,Yellow Box,15,N,POINT (103.81129059774145 1.2896145486359338),ALEXANDRA HILL
50,SILAT AVENUE BLOCK 150_YB,1.277324511147338,103.83146969461473,Yellow Box,14,N,POINT (103.83146969461473 1.277324511147338),KAMPONG TIONG BAHRU
51,SPOTTISWOODE PARK ROAD BLOCK 108_A_YB,1.274271629269413,103.83536850761335,Yellow Box,16,N,POINT (103.83536850761335 1.274271629269413),EVERTON PARK
52,STIRLING ROAD BLOCK 167_YB,1.2900568884177377,103.80238529477786,Yellow Box,16,N,POINT (103.80238529477786 1.2900568884177377),MEI CHIN
53,STIRLING ROAD BLOCK 169_A_YB,1.2905878216859223,103.80351603432064,Yellow Box,13,N,POINT (103.80351603432064 1.2905878216859223),MEI CHIN
54,STIRLING ROAD BLOCK 169_B_YB,1.290672224301705,103.80351603333769,Yellow Box,13,N,POINT (103.80351603333769 1.290672224301705),MEI CHIN
55,TELOK BLANGAH DRIVE BLOCK 44_YB,1.2713794338960709,103.80973831323612,Yellow Box,16,N,POINT (103.80973831323612 1.2713794338960709),TELOK BLANGAH DRIVE
56,TELOK BLANGAH DRIVE BLOCK 45_YB,1.2725661112667983,103.80959565997252,Yellow Box,16,N,POINT (103.80959565997252 1.2725661112667983),TELOK BLANGAH DRIVE
57,TELOK BLANGAH DRIVE BLOCK 50_YB,1.2730477572530834,103.81094534365116,Yellow Box,40,N,POINT (103.81094534365116 1.2730477572530834),TELOK BLANGAH DRIVE
