,Description,Lat,Lon,RackType,RackCount,ShelterIndicator,geometry,within
2130,600043-4,1.321154981722822,103.74141688549216,HDB_RACKS,10,Y,POINT (103.74141688549216 1.321154981722822),TEBAN GARDENS
2131,600044-1,1.3207187111802414,103.74174817804511,HDB_RACKS,2,Y,POINT (103.74174817804511 1.3207187111802414),TEBAN GARDENS
2132,600044-2,1.3207240298361165,103.74169707670212,HDB_RACKS,2,Y,POINT (103.74169707670212 1.3207240298361165),TEBAN GARDENS
2133,600044-3,1.320825104105292,103.74127592884714,HDB_RACKS,2,Y,POINT (103.74127592884714 1.320825104105292),TEBAN GARDENS
2134,600044-4,1.320716933906552,103.74164773787288,HDB_RACKS,3,Y,POINT (103.74164773787288 1.320716933906552),TEBAN GARDENS
2135,WEST COAST ROAD BLOCK 702_YB,1.3074716605885053,103.76058451727876,Yellow Box,13,N,POINT (103.76058451727876 1.3074716605885053),CLEMENTI WEST
2136,600044-5,1.3207506270463,103.74155258275648,HDB_RACKS,3,Y,POINT (103.74155258275648 1.3207506270463),TEBAN GARDENS
2137,600044-6,1.320704525425093,103.74181161457452,HDB_RACKS,4,Y,POINT (103.74181161457452 1.320704525425093),TEBAN GARDENS
2138,600044-7,1.320796731987166,103.7413834185464,HDB_RACKS,4,Y,POINT (103.7413834185464 1.320796731987166),TEBAN GARDENS
2139,600044-8,1.3207736799318015,103.7414803354246,HDB_RACKS,18,Y,POINT (103.7414803354246 1.3207736799318015),TEBAN GARDENS
2140,600062-1,1.3220717998332352,103.73915342101432,HDB_RACKS,3,Y,POINT (103.73915342101432 1.3220717998332352),TEBAN GARDENS
2141,600062-4,1.3220593876954745,103.73921685743196,HDB_RACKS,7,Y,POINT (103.73921685743196 1.3220593876954745),TEBAN GARDENS
2142,600062-5,1.3218022615758855,103.74007325263044,HDB_RACKS,10,Y,POINT (103.74007325263044 1.3218022615758855),TEBAN GARDENS
2143,600101-1,1.3371488491809642,103.73895728345096,HDB_RACKS,12,Y,POINT (103.73895728345096 1.3371488491809642),YUHUA
2144,600101-2,1.336743300501862,103.73840753187096,HDB_RACKS,12,Y,POINT (103.73840753187096 1.336743300501862),YUHUA
2145,600101-3,1.3367613315742986,103.73860451615892,HDB_RACKS,12,Y,POINT (103.73860451615892 1.3367613315742986),YUHUA
2146,600102-1,1.336101643726312,103.73783271887098,HDB_RACKS,8,Y,POINT (103.73783271887098 1.336101643726312),YUHUA
2147,600102-2,1.33609444383757,103.7380762640464,HDB_RACKS,8,Y,POINT (103.7380762640464 1.33609444383757),YUHUA
2148,600102-3,1.3361575499868723,103.73869586859912,HDB_RACKS,6,Y,POINT (103.73869586859912 1.3361575499868723),YUHUA
2149,600103-1,1.3366099108195857,103.73799028715815,HDB_RACKS,6,Y,POINT (103.73799028715815 1.3366099108195857),YUHUA
2150,600103-2,1.3366077877173157,103.73809965265552,HDB_RACKS,6,Y,POINT (103.73809965265552 1.3366077877173157),YUHUA
2151,600103-3,1.3367312688195716,103.73811112908662,HDB_RACKS,8,Y,POINT (103.73811112908662 1.3367312688195716),YUHUA
2152,600105-2,1.3373615082624883,103.7385060006841,HDB_RACKS,8,Y,POINT (103.7385060006841 1.3373615082624883),YUHUA
2153,600105-3,1.3372677801813238,103.73834662549451,HDB_RACKS,10,Y,POINT (103.73834662549451 1.3372677801813238),YUHUA
2154,600105-4,1.337278583720947,103.738078009241,HDB_RACKS,8,Y,POINT (103.738078009241 1.337278583720947),YUHUA
2155,600105-5,1.337276785818371,103.73819082792068,HDB_RACKS,8,Y,POINT (103.73819082792068 1.337276785818371),YUHUA
2156,600107-1,1.3376875291861912,103.73783734252136,HDB_RACKS,6,Y,POINT (103.73783734252136 1.3376875291861912),YUHUA
2157,600109-1,1.3382819353798372,103.73594487315287,HDB_RACKS,6,Y,POINT (103.73594487315287 1.3382819353798372),YUHUA
2158,600110-1,1.3390105661092402,103.7363050765085,HDB_RACKS,6,Y,POINT (103.7363050765085 1.3390105661092402),YUHUA
2159,600110-2,1.3389292503893402,103.73632319704478,HDB_RACKS,12,Y,POINT (103.73632319704478 1.3389292503893402),YUHUA
2160,600111-1,1.3388086714407028,103.735501895794,HDB_RACKS,6,Y,POINT (103.735501895794 1.3388086714407028),YUHUA
2161,600111-2,1.3388627256508627,103.7355201367637,HDB_RACKS,3,Y,POINT (103.7355201367637 1.3388627256508627),YUHUA
2162,600112-1,1.339201599599595,103.73593258804308,HDB_RACKS,6,Y,POINT (103.73593258804308 1.339201599599595),YUHUA
2163,600112-2,1.3392106071708518,103.7358269320293,HDB_RACKS,10,Y,POINT (103.7358269320293 1.3392106071708518),YUHUA
2164,600112-3,1.3394106802591228,103.73615284498294,HDB_RACKS,4,Y,POINT (103.73615284498294 1.3394106802591228),YUHUA
2165,600112-4,1.3394719620007345,103.73620298425509,HDB_RACKS,10,Y,POINT (103.73620298425509 1.3394719620007345),YUHUA
2166,600113-1,1.3387960190434216,103.73460743177576,HDB_RACKS,6,Y,POINT (103.73460743177576 1.3387960190434216),YUHUA
2167,600113-2,1.338857293245694,103.73447312128944,HDB_RACKS,4,Y,POINT (103.73447312128944 1.338857293245694),YUHUA
2168,600113-3,1.3388068456620783,103.73491902586882,HDB_RACKS,4,Y,POINT (103.73491902586882 1.3388068456620783),YUHUA
2169,600113-4,1.3388302863604495,103.73517152402714,HDB_RACKS,8,Y,POINT (103.73517152402714 1.3388302863604495),YUHUA
2170,600113-5,1.338826685625348,103.7352700166884,HDB_RACKS,8,Y,POINT (103.7352700166884 1.338826685625348),YUHUA
2171,600115-1,1.3397332714691008,103.73544547648125,HDB_RACKS,4,Y,POINT (103.73544547648125 1.3397332714691008),YUHUA
2172,600115-2,1.339897289085773,103.73555470722005,HDB_RACKS,6,Y,POINT (103.73555470722005 1.339897289085773),YUHUA
2173,600115-3,1.3397602957061283,103.7351750685873,HDB_RACKS,10,Y,POINT (103.7351750685873 1.3397602957061283),YUHUA
2174,600116-1,1.339641318867793,103.73462709649846,HDB_RACKS,6,Y,POINT (103.73462709649846 1.339641318867793),YUHUA
2175,600201-1,1.3364447961556751,103.74294397000192,HDB_RACKS,4,Y,POINT (103.74294397000192 1.3364447961556751),JURONG REGIONAL CENTRE
2176,600201-2,1.3363688269484364,103.74321388005151,HDB_RACKS,4,Y,POINT (103.74321388005151 1.3363688269484364),JURONG REGIONAL CENTRE
2177,600203-1,1.3371254730290243,103.74259751231456,HDB_RACKS,10,Y,POINT (103.74259751231456 1.3371254730290243),JURONG REGIONAL CENTRE
2178,600204-1,1.3376104517564915,103.74156129819974,HDB_RACKS,4,Y,POINT (103.74156129819974 1.3376104517564915),JURONG REGIONAL CENTRE
2179,600204-2,1.3371462538487766,103.74164921634804,HDB_RACKS,10,Y,POINT (103.74164921634804 1.3371462538487766),JURONG REGIONAL CENTRE
2180,600204-3,1.3372537300455871,103.741588561451,HDB_RACKS,4,Y,POINT (103.741588561451 1.3372537300455871),JURONG REGIONAL CENTRE
2181,600204-4,1.3372202622246148,103.74184634762304,HDB_RACKS,6,Y,POINT (103.74184634762304 1.3372202622246148),JURONG REGIONAL CENTRE
2182,600204-5,1.3377335741433354,103.74158577175014,HDB_RACKS,8,Y,POINT (103.74158577175014 1.3377335741433354),JURONG REGIONAL CENTRE
2183,600205-1,1.33757614787942,103.74270711329224,HDB_RACKS,16,Y,POINT (103.74270711329224 1.33757614787942),JURONG REGIONAL CENTRE
2184,600206-1,1.3376760449920648,103.74215281698062,HDB_RACKS,10,Y,POINT (103.74215281698062 1.3376760449920648),JURONG REGIONAL CENTRE
2185,600206-2,1.3378758624868776,103.74182414829065,HDB_RACKS,12,Y,POINT (103.74182414829065 1.3378758624868776),JURONG REGIONAL CENTRE
2186,600207-1,1.3379029529744522,103.74245684235238,HDB_RACKS,10,Y,POINT (103.74245684235238 1.3379029529744522),JURONG REGIONAL CENTRE
2187,600207-2,1.338096533584429,103.74218796183357,HDB_RACKS,16,Y,POINT (103.74218796183357 1.338096533584429),JURONG REGIONAL CENTRE
2188,600208-1,1.3383088819260789,103.74280739688504,HDB_RACKS,8,Y,POINT (103.74280739688504 1.3383088819260789),JURONG REGIONAL CENTRE
2189,600209-1,1.337831103166219,103.74027397541772,HDB_RACKS,2,Y,POINT (103.74027397541772 1.337831103166219),YUHUA
2190,600209-2,1.3378104142223226,103.740174376413,HDB_RACKS,2,Y,POINT (103.740174376413 1.3378104142223226),YUHUA
2191,600209-3,1.3380204625809042,103.7405617009388,HDB_RACKS,4,Y,POINT (103.7405617009388 1.3380204625809042),YUHUA
2192,600209-4,1.337823145128339,103.74021706154198,HDB_RACKS,4,Y,POINT (103.74021706154198 1.337823145128339),YUHUA
2193,600209-5,1.3379424921787104,103.74047158978884,HDB_RACKS,5,Y,POINT (103.74047158978884 1.3379424921787104),YUHUA
2194,600209-6,1.3380984328902132,103.74064706923848,HDB_RACKS,10,Y,POINT (103.74064706923848 1.3380984328902132),YUHUA
2195,600210-1,1.3391230540781556,103.73835465408511,HDB_RACKS,3,Y,POINT (103.73835465408511 1.3391230540781556),YUHUA
2196,600210-2,1.3391707894871234,103.73836729980854,HDB_RACKS,4,Y,POINT (103.73836729980854 1.3391707894871234),YUHUA
2197,600210-3,1.3391230556804934,103.738395758702,HDB_RACKS,5,Y,POINT (103.738395758702 1.3391230556804934),YUHUA
2198,600210-4,1.3387030044181891,103.7388068216817,HDB_RACKS,5,Y,POINT (103.7388068216817 1.3387030044181891),YUHUA
2199,600210-5,1.3384738878569646,103.73909140130768,HDB_RACKS,5,Y,POINT (103.73909140130768 1.3384738878569646),YUHUA
2200,600211-1,1.3385503157367649,103.74044469080012,HDB_RACKS,3,Y,POINT (103.74044469080012 1.3385503157367649),YUHUA
2201,600211-2,1.3385853211089365,103.74043994662595,HDB_RACKS,5,Y,POINT (103.74043994662595 1.3385853211089365),YUHUA
2202,600211-3,1.338683964077676,103.74019805765012,HDB_RACKS,10,Y,POINT (103.74019805765012 1.338683964077676),YUHUA
2203,600212-1,1.3390244778561546,103.74032135892232,HDB_RACKS,3,Y,POINT (103.74032135892232 1.3390244778561546),YUHUA
2204,600212-2,1.339021300679324,103.74045732063544,HDB_RACKS,5,Y,POINT (103.74045732063544 1.339021300679324),YUHUA
2205,600213-1,1.3389639899538297,103.73970479088064,HDB_RACKS,3,Y,POINT (103.73970479088064 1.3389639899538297),YUHUA
2206,600213-2,1.3389639951752952,103.73984075255814,HDB_RACKS,3,Y,POINT (103.73984075255814 1.3389639951752952),YUHUA
2207,600214-1,1.339288567387332,103.73918622718088,HDB_RACKS,6,Y,POINT (103.73918622718088 1.339288567387332),YUHUA
2208,600214-2,1.3392885689758538,103.7392273318015,HDB_RACKS,6,Y,POINT (103.7392273318015 1.3392885689758538),YUHUA
2209,600214-3,1.3393999353900083,103.73883841398025,HDB_RACKS,10,Y,POINT (103.73883841398025 1.3393999353900083),YUHUA
2210,600216-1,1.339810406964228,103.73759260977906,HDB_RACKS,4,Y,POINT (103.73759260977906 1.339810406964228),YUHUA
2211,600216-2,1.339301254869948,103.73811118099312,HDB_RACKS,5,Y,POINT (103.73811118099312 1.339301254869948),YUHUA
2212,600216-3,1.3397085688907615,103.73750091867366,HDB_RACKS,9,Y,POINT (103.73750091867366 1.3397085688907615),YUHUA
2213,600217-1,1.3400109010770636,103.73778231600808,HDB_RACKS,5,Y,POINT (103.73778231600808 1.3400109010770636),YUHUA
2214,600217-2,1.3399631822612654,103.73819336479066,HDB_RACKS,5,Y,POINT (103.73819336479066 1.3399631822612654),YUHUA
2215,600218-1,1.340329144040257,103.7380447413564,HDB_RACKS,5,Y,POINT (103.7380447413564 1.340329144040257),YUHUA
2216,600218-2,1.34035777413316,103.73776649306194,HDB_RACKS,7,Y,POINT (103.73776649306194 1.34035777413316),YUHUA
2217,600219-1,1.3407142104590126,103.73816804057978,HDB_RACKS,4,Y,POINT (103.73816804057978 1.3407142104590126),YUHUA
2218,600220-1,1.3410037763692906,103.7375071921096,HDB_RACKS,4,Y,POINT (103.7375071921096 1.3410037763692906),YUHUA
2219,600224-1,1.3417197627906443,103.7365680793689,HDB_RACKS,6,Y,POINT (103.7365680793689 1.3417197627906443),YUHUA
2220,600224-2,1.341722950094463,103.73669455524627,HDB_RACKS,8,Y,POINT (103.73669455524627 1.341722950094463),YUHUA
2221,600226-1,1.341363315744745,103.73590725592938,HDB_RACKS,2,Y,POINT (103.73590725592938 1.341363315744745),YUHUA
2222,600226-2,1.3413633170112802,103.73593887494717,HDB_RACKS,3,Y,POINT (103.73593887494717 1.3413633170112802),YUHUA
2223,600227-1,1.3417738459443735,103.73615702993806,HDB_RACKS,3,Y,POINT (103.73615702993806 1.3417738459443735),YUHUA
2224,600227-2,1.3419074974805336,103.73600209147747,HDB_RACKS,3,Y,POINT (103.73600209147747 1.3419074974805336),YUHUA
2225,600228-1,1.3425280813913505,103.73675776171022,HDB_RACKS,5,Y,POINT (103.73675776171022 1.3425280813913505),YUHUA
2226,600228-2,1.342470776755231,103.73618545952304,HDB_RACKS,10,Y,POINT (103.73618545952304 1.342470776755231),YUHUA
2227,600229-1,1.3419393917535902,103.737791726863,HDB_RACKS,3,Y,POINT (103.737791726863 1.3419393917535902),YUHUA
2228,600229-2,1.3418248367027483,103.73801306448696,HDB_RACKS,4,Y,POINT (103.73801306448696 1.3418248367027483),YUHUA
2229,600229-3,1.341843929374238,103.737981444722,HDB_RACKS,6,Y,POINT (103.737981444722 1.341843929374238),YUHUA
2230,600230-1,1.3414747610293531,103.7375134975762,HDB_RACKS,2,Y,POINT (103.7375134975762 1.3414747610293531),YUHUA
2231,600230-2,1.3414556681488372,103.73754195540144,HDB_RACKS,4,Y,POINT (103.73754195540144 1.3414556681488372),YUHUA
2232,600231-1,1.3410833612458872,103.73818699776956,HDB_RACKS,2,Y,POINT (103.73818699776956 1.3410833612458872),YUHUA
2233,600231-2,1.3413061054894997,103.73771270397228,HDB_RACKS,3,Y,POINT (103.73771270397228 1.3413061054894997),YUHUA
2234,600231-3,1.341277466690006,103.73776645739724,HDB_RACKS,3,Y,POINT (103.73776645739724 1.341277466690006),YUHUA
2235,600231-4,1.3412392811366138,103.73782653497676,HDB_RACKS,3,Y,POINT (103.73782653497676 1.3412392811366138),YUHUA
2236,600231-5,1.3410292664236572,103.73831031398376,HDB_RACKS,4,Y,POINT (103.73831031398376 1.3410292664236572),YUHUA
2237,600231-6,1.3412424663887836,103.73790242046078,HDB_RACKS,6,Y,POINT (103.73790242046078 1.3412424663887836),YUHUA
2238,600231-7,1.340975168229759,103.73834509702256,HDB_RACKS,6,Y,POINT (103.73834509702256 1.340975168229759),YUHUA
2239,600232-1,1.3399409997655054,103.74062644767083,HDB_RACKS,5,Y,POINT (103.74062644767083 1.3399409997655054),YUHUA
2240,600233-1,1.3403865348143589,103.74086673542868,HDB_RACKS,4,Y,POINT (103.74086673542868 1.3403865348143589),YUHUA
2241,600234-1,1.339934671422942,103.7415845036662,HDB_RACKS,4,Y,POINT (103.7415845036662 1.339934671422942),YUHUA
2242,600236-1,1.340392948363066,103.74216311443932,HDB_RACKS,3,Y,POINT (103.74216311443932 1.340392948363066),YUHUA
2243,600236-2,1.3404470444845784,103.74207141734054,HDB_RACKS,3,Y,POINT (103.74207141734054 1.3404470444845784),YUHUA
2244,600238-1,1.3406411070815625,103.74049994529288,HDB_RACKS,3,Y,POINT (103.74049994529288 1.3406411070815625),YUHUA
2245,600238-2,1.3406442935749243,103.74061061171793,HDB_RACKS,3,Y,POINT (103.74061061171793 1.3406442935749243),YUHUA
2246,600239-1,1.340879794228302,103.74083193596994,HDB_RACKS,3,Y,POINT (103.74083193596994 1.340879794228302),YUHUA
2247,600239-2,1.3408893429128863,103.74087620219838,HDB_RACKS,8,Y,POINT (103.74087620219838 1.3408893429128863),YUHUA
2248,600240-1,1.3410834866377417,103.74144849910476,HDB_RACKS,5,Y,POINT (103.74144849910476 1.3410834866377417),YUHUA
2249,600240-2,1.341073950845192,103.7417457182959,HDB_RACKS,5,Y,POINT (103.7417457182959 1.341073950845192),YUHUA
2250,600241-1,1.3415157119003014,103.74267247144574,HDB_RACKS,10,Y,POINT (103.74267247144574 1.3415157119003014),YUHUA
2251,600243-1,1.3420287130741098,103.74321162739876,HDB_RACKS,10,Y,POINT (103.74321162739876 1.3420287130741098),YUHUA
2252,600244-1,1.3424250788548575,103.74244076129648,HDB_RACKS,10,Y,POINT (103.74244076129648 1.3424250788548575),YUHUA
2253,600244-2,1.34260737331306,103.74231859768986,HDB_RACKS,10,Y,POINT (103.74231859768986 1.34260737331306),YUHUA
2254,600245-1,1.341717067252779,103.74209537862404,HDB_RACKS,6,Y,POINT (103.74209537862404 1.341717067252779),YUHUA
2255,600245-2,1.3416873841729502,103.74192267527717,HDB_RACKS,7,Y,POINT (103.74192267527717 1.3416873841729502),YUHUA
2256,600246-1,1.3417911687737052,103.73973016798044,HDB_RACKS,2,Y,POINT (103.73973016798044 1.3417911687737052),YUHUA
2257,600246-2,1.341784815072414,103.73987338645688,HDB_RACKS,2,Y,POINT (103.73987338645688 1.341784815072414),YUHUA
2258,600246-3,1.3417932982287006,103.7399829059889,HDB_RACKS,2,Y,POINT (103.7399829059889 1.3417932982287006),YUHUA
2259,600246-4,1.3417827098700512,103.74025459993832,HDB_RACKS,2,Y,POINT (103.74025459993832 1.3417827098700512),YUHUA
2260,600247-1,1.3417996351399455,103.73940160800956,HDB_RACKS,4,Y,POINT (103.73940160800956 1.3417996351399455),YUHUA
2261,600247-2,1.3418038724162615,103.73934474183451,HDB_RACKS,7,Y,POINT (103.73934474183451 1.3418038724162615),YUHUA
2262,600248-1,1.3424504303889817,103.7401808594242,HDB_RACKS,1,Y,POINT (103.7401808594242 1.3424504303889817),YUHUA
2263,600248-2,1.342405915538134,103.74018296724144,HDB_RACKS,2,Y,POINT (103.74018296724144 1.342405915538134),YUHUA
2264,600248-3,1.3420561639719373,103.7403978079444,HDB_RACKS,5,Y,POINT (103.7403978079444 1.3420561639719373),YUHUA
2265,600250-1,1.3427175205142854,103.74020191082316,HDB_RACKS,1,Y,POINT (103.74020191082316 1.3427175205142854),YUHUA
2266,600250-2,1.3425733596349756,103.73974909361482,HDB_RACKS,2,Y,POINT (103.73974909361482 1.3425733596349756),YUHUA
2267,600250-3,1.342673005663502,103.74020401864058,HDB_RACKS,4,Y,POINT (103.74020401864058 1.342673005663502),YUHUA
2268,600250-4,1.3426051541773762,103.7397027570369,HDB_RACKS,4,Y,POINT (103.7397027570369 1.3426051541773762),YUHUA
2269,600251-1,1.3431965763838185,103.73996600361107,HDB_RACKS,7,Y,POINT (103.73996600361107 1.3431965763838185),YUHUA
2270,600260-1,1.3438187493317884,103.74060414427926,HDB_RACKS,3,Y,POINT (103.74060414427926 1.3438187493317884),YUHUA
2271,600260-2,1.3437869521991184,103.7405830839609,HDB_RACKS,3,Y,POINT (103.7405830839609 1.3437869521991184),YUHUA
2272,600260-3,1.3437498471362308,103.74033877169056,HDB_RACKS,3,Y,POINT (103.74033877169056 1.3437498471362308),YUHUA
2273,600260-5,1.3437138026814377,103.74011552081576,HDB_RACKS,4,Y,POINT (103.74011552081576 1.3437138026814377),YUHUA
2274,600264-1,1.3439639940709682,103.74169512616696,HDB_RACKS,2,Y,POINT (103.74169512616696 1.3439639940709682),YUHUA
2275,600264-2,1.343926897638096,103.74167617216426,HDB_RACKS,2,Y,POINT (103.74167617216426 1.343926897638096),YUHUA
2276,600264-3,1.343891919987588,103.74163194429624,HDB_RACKS,2,Y,POINT (103.74163194429624 1.343891919987588),YUHUA
2277,600264-4,1.3438548228379843,103.74159403491026,HDB_RACKS,2,Y,POINT (103.74159403491026 1.3438548228379843),YUHUA
2278,600264-5,1.3438177248914736,103.74153506400717,HDB_RACKS,2,Y,POINT (103.74153506400717 1.3438177248914736),YUHUA
2279,600264-6,1.3436990111499445,103.74134024931485,HDB_RACKS,6,Y,POINT (103.74134024931485 1.3436990111499445),YUHUA
2280,600264-7,1.34404348867967,103.7417930593814,HDB_RACKS,10,Y,POINT (103.7417930593814 1.34404348867967),YUHUA
2281,600265-1,1.34073483048207,103.74472441735666,HDB_RACKS,4,Y,POINT (103.74472441735666 1.34073483048207),TOH GUAN
2282,600265-2,1.340775094251111,103.74440638718754,HDB_RACKS,8,Y,POINT (103.74440638718754 1.340775094251111),TOH GUAN
2283,600265-3,1.3407687486607176,103.74478233533576,HDB_RACKS,6,Y,POINT (103.74478233533576 1.3407687486607176),TOH GUAN
2284,600266-1,1.341247795637267,103.74428631953566,HDB_RACKS,4,Y,POINT (103.74428631953566 1.341247795637267),TOH GUAN
2285,600266-2,1.341090928917472,103.74415785000456,HDB_RACKS,4,Y,POINT (103.74415785000456 1.341090928917472),TOH GUAN
2286,600266-3,1.340787804672638,103.74418524095226,HDB_RACKS,4,Y,POINT (103.74418524095226 1.340787804672638),TOH GUAN
2287,600267-1,1.3412138988516409,103.74481707082803,HDB_RACKS,4,Y,POINT (103.74481707082803 1.3412138988516409),TOH GUAN
2288,600267-2,1.340946805892106,103.74471809134008,HDB_RACKS,6,Y,POINT (103.74471809134008 1.340946805892106),TOH GUAN
2289,600267-3,1.3412054221868788,103.744882361758,HDB_RACKS,6,Y,POINT (103.744882361758 1.3412054221868788),TOH GUAN
2290,600267-4,1.340897848982716,103.74483323325336,HDB_RACKS,8,Y,POINT (103.74483323325336 1.340897848982716),TOH GUAN
2291,600268-1,1.3420851220252938,103.74490339176003,HDB_RACKS,2,Y,POINT (103.74490339176003 1.3420851220252938),TOH GUAN
2292,600268-2,1.3421285778917202,103.74492655783764,HDB_RACKS,4,Y,POINT (103.74492655783764 1.3421285778917202),TOH GUAN
2293,600268-3,1.341809562008868,103.74513402516943,HDB_RACKS,6,Y,POINT (103.74513402516943 1.341809562008868),TOH GUAN
2294,600269-1,1.3417544653584892,103.74560317240636,HDB_RACKS,4,Y,POINT (103.74560317240636 1.3417544653584892),TOH GUAN
2295,600269-2,1.3417910295458528,103.7455594685204,HDB_RACKS,6,Y,POINT (103.7455594685204 1.3417910295458528),TOH GUAN
2296,600269-3,1.341499568505401,103.74571270134416,HDB_RACKS,14,Y,POINT (103.74571270134416 1.341499568505401),TOH GUAN
2297,600270-1,1.3411890373503603,103.74608076232404,HDB_RACKS,3,Y,POINT (103.74608076232404 1.3411890373503603),TOH GUAN
2298,600270-2,1.3412960833569345,103.7460312640274,HDB_RACKS,4,Y,POINT (103.7460312640274 1.3412960833569345),TOH GUAN
2299,600270-3,1.341126504276123,103.74607181336604,HDB_RACKS,6,Y,POINT (103.74607181336604 1.341126504276123),TOH GUAN
2300,600270-4,1.3413485512370509,103.74614130848644,HDB_RACKS,9,Y,POINT (103.74614130848644 1.3413485512370509),TOH GUAN
2301,600270-5,1.3412938405127854,103.74584865081702,HDB_RACKS,8,Y,POINT (103.74584865081702 1.3412938405127854),TOH GUAN
2302,600271-1,1.341475740114742,103.74623766049496,HDB_RACKS,4,Y,POINT (103.74623766049496 1.341475740114742),TOH GUAN
2303,600271-2,1.3417338185763563,103.74618447096545,HDB_RACKS,4,Y,POINT (103.74618447096545 1.3417338185763563),TOH GUAN
2304,600271-3,1.3418811412230405,103.74617024929024,HDB_RACKS,8,Y,POINT (103.74617024929024 1.3418811412230405),TOH GUAN
2305,600271-4,1.3418769039412286,103.74623396050892,HDB_RACKS,9,Y,POINT (103.74623396050892 1.3418769039412286),TOH GUAN
2306,600272-1,1.342082486857028,103.74530356063909,HDB_RACKS,3,Y,POINT (103.74530356063909 1.342082486857028),TOH GUAN
2307,600272-2,1.3421339070193423,103.74574795683276,HDB_RACKS,4,Y,POINT (103.74574795683276 1.3421339070193423),TOH GUAN
2308,600272-3,1.3420358529061045,103.7453235707903,HDB_RACKS,6,Y,POINT (103.7453235707903 1.3420358529061045),TOH GUAN
2309,600272-4,1.3421238250411165,103.7453835929198,HDB_RACKS,6,Y,POINT (103.7453835929198 1.3421238250411165),TOH GUAN
2310,600272-5,1.342227700273838,103.74558262059357,HDB_RACKS,8,Y,POINT (103.74558262059357 1.342227700273838),TOH GUAN
2311,600273-1,1.342191112417868,103.74497289095994,HDB_RACKS,3,Y,POINT (103.74497289095994 1.342191112417868),TOH GUAN
2312,600273-2,1.3422345682454662,103.74499500392838,HDB_RACKS,4,Y,POINT (103.74499500392838 1.3422345682454662),TOH GUAN
2313,600273-3,1.3426436927756842,103.74531196519152,HDB_RACKS,4,Y,POINT (103.74531196519152 1.3426436927756842),TOH GUAN
2314,600273-4,1.3427019866622958,103.74532881235126,HDB_RACKS,7,Y,POINT (103.74532881235126 1.3427019866622958),TOH GUAN
2315,600274-1,1.34198503541655,103.74690265984322,HDB_RACKS,3,Y,POINT (103.74690265984322 1.34198503541655),TOH GUAN
2316,600274-2,1.342179509814808,103.74652933763848,HDB_RACKS,4,Y,POINT (103.74652933763848 1.342179509814808),TOH GUAN
2317,600274-3,1.3421323421141134,103.74644351360776,HDB_RACKS,6,Y,POINT (103.74644351360776 1.3421323421141134),TOH GUAN
2318,600274-4,1.3418764017616178,103.74701271009076,HDB_RACKS,6,Y,POINT (103.74701271009076 1.3418764017616178),TOH GUAN
2319,600275-1,1.3408896852076544,103.74786994808284,HDB_RACKS,9,Y,POINT (103.74786994808284 1.3408896852076544),TOH GUAN
2320,600275-2,1.3406289499129675,103.74772147355172,HDB_RACKS,12,Y,POINT (103.74772147355172 1.3406289499129675),TOH GUAN
2321,600275-3,1.3413929003974618,103.74785027085228,HDB_RACKS,12,Y,POINT (103.74785027085228 1.3413929003974618),TOH GUAN
2322,600276-1,1.3407603651688291,103.74744766936436,HDB_RACKS,9,Y,POINT (103.74744766936436 1.3407603651688291),TOH GUAN
2323,600276-2,1.341161526703383,103.74737604626785,HDB_RACKS,9,Y,POINT (103.74737604626785 1.341161526703383),TOH GUAN
2324,600276-3,1.3407937531956642,103.74749926891948,HDB_RACKS,10,Y,POINT (103.74749926891948 1.3407937531956642),TOH GUAN
2325,600276-4,1.340897946296023,103.74754991163572,HDB_RACKS,8,Y,POINT (103.74754991163572 1.340897946296023),TOH GUAN
2326,600277-1,1.3414259435346283,103.74673208123562,HDB_RACKS,3,Y,POINT (103.74673208123562 1.3414259435346283),TOH GUAN
2327,600277-2,1.3413607618767365,103.7467568308259,HDB_RACKS,3,Y,POINT (103.7467568308259 1.3413607618767365),TOH GUAN
2328,600277-3,1.3412966346968265,103.7466315170127,HDB_RACKS,3,Y,POINT (103.7466315170127 1.3412966346968265),TOH GUAN
2329,600277-4,1.3412166171504332,103.74672261086585,HDB_RACKS,7,Y,POINT (103.74672261086585 1.3412166171504332),TOH GUAN
2330,600277-5,1.3412510760018126,103.74700762684988,HDB_RACKS,8,Y,POINT (103.74700762684988 1.3412510760018126),TOH GUAN
2331,600278-1,1.340989258428246,103.74630876024506,HDB_RACKS,3,Y,POINT (103.74630876024506 1.340989258428246),TOH GUAN
2332,600278-2,1.341114857801026,103.7464130102778,HDB_RACKS,8,Y,POINT (103.7464130102778 1.341114857801026),TOH GUAN
2333,600278-3,1.3409754835344927,103.74640511713312,HDB_RACKS,3,Y,POINT (103.74640511713312 1.3409754835344927),TOH GUAN
2334,600278-4,1.340961707944936,103.74648462478704,HDB_RACKS,4,Y,POINT (103.74648462478704 1.340961707944936),TOH GUAN
2335,600278-5,1.340995621007076,103.74640037760386,HDB_RACKS,4,Y,POINT (103.74640037760386 1.340995621007076),TOH GUAN
2336,600278-6,1.3407635131513866,103.74655518785217,HDB_RACKS,5,Y,POINT (103.74655518785217 1.3407635131513866),TOH GUAN
2337,600278-7,1.341026328148441,103.7465371336415,HDB_RACKS,4,Y,POINT (103.7465371336415 1.341026328148441),TOH GUAN
