,Name,Description,geometry,within
316,Overpass (with ramp),,POINT Z (103.9523546 1.3461441 0),TAMPINES EAST
317,Footbridge,,POINT Z (103.7810859 1.3368091 0),HOLLAND ROAD
318,Footbridge,,POINT Z (103.7755351 1.3454448 0),NATURE RESERVE
319,Footbridge,,POINT Z (103.7675106 1.3578887 0),NATURE RESERVE
320,Traffic light,,POINT Z (103.8395435 1.3769712 0),KEBUN BAHRU
321,Traffic light,,POINT Z (103.8362733 1.3779158 0),SEMBAWANG HILLS
322,Traffic light,,POINT Z (103.8315767 1.3799713 0),SEMBAWANG HILLS
323,Traffic light,,POINT Z (103.8282298 1.3777501 0),SEMBAWANG HILLS
324,Traffic light,,POINT Z (103.8280649 1.3778111 0),SINDO
325,Traffic light,,POINT Z (103.7911051 1.3079371 0),GHIM MOH
326,Traffic light,,POINT Z (103.7895708 1.308485 0),GHIM MOH
327,Traffic light,,POINT Z (103.7875604 1.3080214 0),SINGAPORE POLYTECHNIC
328,Traffic light,,POINT Z (103.7875329 1.3066745 0),ONE NORTH
329,Traffic light,,POINT Z (103.7875678 1.3065391 0),ONE NORTH
330,Traffic light,,POINT Z (103.7885857 1.3059465 0),ONE NORTH
331,Traffic light,,POINT Z (103.7899683 1.3053177 0),ONE NORTH
332,Ramp,,POINT Z (103.7912079 1.2990475 0),ONE NORTH
333,Traffic light,,POINT Z (103.9310364 1.3604188 0),TAMPINES NORTH
334,Traffic light,,POINT Z (103.9304034 1.3578672 0),TAMPINES WEST
335,Traffic light,,POINT Z (103.956112 1.3771014 0),PASIR RIS PARK
336,Traffic light,,POINT Z (103.8758093 1.3951275 0),JALAN KAYU EAST
337,Traffic light,,POINT Z (103.8729545 1.3951737 0),JALAN KAYU EAST
338,Traffic light,,POINT Z (103.8722908 1.4005852 0),JALAN KAYU EAST
339,Traffic light,,POINT Z (103.8724051 1.4006357 0),JALAN KAYU EAST
340,Traffic light,,POINT Z (103.8724256 1.4015839 0),SL - SELETAR
341,Traffic light,,POINT Z (103.8728862 1.410255 0),SL - SELETAR
342,Ramp,,POINT Z (103.7500614 1.3892668 0),CENTRAL
343,Steps (with wheeling ramp),,POINT Z (103.7482749 1.3888921 0),CENTRAL
344,Footbridge,,POINT Z (103.7669013 1.3808217 0),FAJAR
