,Name,Description,geometry,within
218,Traffic light,,POINT Z (103.7709201 1.439586 0),WOODLANDS WEST
219,Traffic light,,POINT Z (103.7714673 1.4370535 0),WOODLANDS WEST
220,Steps (with wheeling ramp),,POINT Z (103.770221 1.4394896 0),WOODLANDS WEST
221,Traffic light (with bicycle crossing),,POINT Z (103.7744242 1.4364155 0),WOODLANDS WEST
222,Overpass (with ramp),,POINT Z (103.7486753 1.3412882 0),TOH GUAN
223,Traffic light,,POINT Z (103.7493174 1.3295545 0),TOH GUAN
224,Traffic light,,POINT Z (103.7492583 1.3293386 0),INTERNATIONAL BUSINESS PARK
225,Traffic light,,POINT Z (103.7434262 1.3408573 0),TOH GUAN
226,Traffic light,,POINT Z (103.7421466 1.3391629 0),TOH GUAN
227,Traffic light,,POINT Z (103.7404581 1.3373931 0),JURONG REGIONAL CENTRE
228,Traffic light,,POINT Z (103.7402208 1.337318 0),YUHUA
229,Traffic light,,POINT Z (103.7404675 1.3372322 0),JURONG REGIONAL CENTRE
230,Traffic light,,POINT Z (103.7402331 1.3371636 0),JURONG REGIONAL CENTRE
231,Overpass (with steps),,POINT Z (103.7340942 1.339453 0),JURONG LAKE
232,Traffic light,,POINT Z (103.721411 1.342736 0),JURONG LAKE
