,Unnamed: 0,Latitude_x,Longitude_x,index_x,join_key,Latitude_y,Longitude_y,index_y,euclidean_distance,coordinate_pair,distance,duration,centroid_name,MRT_Name
21,21,1.3753673909478197,103.77359719316692,100,A,1.38002223,103.7726474,54,0.5282532897165803,"coordinate_pair(lat_x=1.3753673909478197, lon_x=103.77359719316692, lat_y=1.38002223, lon_y=103.7726474)",1.134,7.45,221 PENDING ROAD,BANGKIT LRT STATION
22,22,1.377157412896861,103.76738624176596,111,A,1.38002223,103.7726474,54,0.6659725983207755,"coordinate_pair(lat_x=1.377157412896861, lon_x=103.76738624176596, lat_y=1.38002223, lon_y=103.7726474)",1.34,8.416666666666666,109 GANGSA ROAD,BANGKIT LRT STATION
23,23,1.3877880612070277,103.77113132592812,122,A,1.38002223,103.7726474,54,0.8798131196946792,"coordinate_pair(lat_x=1.3877880612070277, lon_x=103.77113132592812, lat_y=1.38002223, lon_y=103.7726474)",2.276,14.583333333333334,SEGAR MEADOWS,BANGKIT LRT STATION
24,20,1.3717191433823752,103.77305757910308,35,A,1.38002223,103.7726474,54,0.9243863532688468,"coordinate_pair(lat_x=1.3717191433823752, lon_x=103.77305757910308, lat_y=1.38002223, lon_y=103.7726474)",1.163,7.2,MERA GARDENS,BANGKIT LRT STATION
25,25,1.3446760199444403,103.88292912725798,9,A,1.342501178,103.8801779,70,0.3898968454466653,"coordinate_pair(lat_x=1.3446760199444403, lon_x=103.88292912725798, lat_y=1.342501178, lon_y=103.8801779)",1.101,6.75,49 THRIFT DRIVE,BARTLEY MRT STATION
26,26,1.3456004700428743,103.87643699844077,194,A,1.342501178,103.8801779,70,0.540094445124946,"coordinate_pair(lat_x=1.3456004700428743, lon_x=103.87643699844077, lat_y=1.342501178, lon_y=103.8801779)",1.019,6.566666666666666,22 LORONG GAMBIR,BARTLEY MRT STATION
27,27,1.3394325398378593,103.88455337338796,165,A,1.342501178,103.8801779,70,0.5941475165886777,"coordinate_pair(lat_x=1.3394325398378593, lon_x=103.88455337338797, lat_y=1.342501178, lon_y=103.8801779)",1.005,6.333333333333333,29 LORONG PAYA LEBAR,BARTLEY MRT STATION
28,28,1.3485139215511217,103.88055684579174,198,A,1.342501178,103.8801779,70,0.6699123431658018,"coordinate_pair(lat_x=1.3485139215511215, lon_x=103.88055684579174, lat_y=1.342501178, lon_y=103.8801779)",1.625,9.9,LLYN GARDENS,BARTLEY MRT STATION
29,25,1.3422565031045823,103.87326193519652,213,A,1.342501178,103.8801779,70,0.7692903882646142,"coordinate_pair(lat_x=1.3422565031045823, lon_x=103.87326193519652, lat_y=1.342501178, lon_y=103.8801779)",1.239,7.733333333333333,WOODLEIGH HILLSIDE,BARTLEY MRT STATION
30,30,1.2820690443978917,103.84846956995324,202,A,1.281873789,103.8590798,147,1.1797082510365462,"coordinate_pair(lat_x=1.2820690443978917, lon_x=103.84846956995324, lat_y=1.281873789, lon_y=103.8590798)",1.735,10.916666666666666,TELOK AYER MRT STATION,BAYFRONT MRT STATION
31,31,1.2979025506259088,103.856830991058,115,A,1.281873789,103.8590798,147,1.7997639242023071,"coordinate_pair(lat_x=1.2979025506259088, lon_x=103.856830991058, lat_y=1.281873789, lon_y=103.8590798)",2.418,15.183333333333334,2 LIANG SEAH STREET,BAYFRONT MRT STATION
32,30,1.2855382001095763,103.84177430019191,51,A,1.281873789,103.8590798,147,1.9664781892140517,"coordinate_pair(lat_x=1.2855382001095763, lon_x=103.84177430019191, lat_y=1.281873789, lon_y=103.8590798)",2.706,16.7,PEARL'S HILL CARE HOME,BAYFRONT MRT STATION
33,31,1.3001754928952325,103.85261752754148,125,A,1.281873789,103.8590798,147,2.158133204674117,"coordinate_pair(lat_x=1.3001754928952323, lon_x=103.85261752754148, lat_y=1.281873789, lon_y=103.8590798)",2.8,17.283333333333335,FORTUNE CENTRE,BAYFRONT MRT STATION
34,32,1.297006289637633,103.87133176241242,227,A,1.281873789,103.8590798,147,2.164811711865201,"coordinate_pair(lat_x=1.297006289637633, lon_x=103.87133176241242, lat_y=1.281873789, lon_y=103.8590798)",7.595,46.45,SANCTUARY GREEN,BAYFRONT MRT STATION
35,35,1.3387079613008284,103.77362882572064,84,A,1.34090149,103.7757467,73,0.3389988004294202,"coordinate_pair(lat_x=1.3387079613008284, lon_x=103.77362882572064, lat_y=1.34090149, lon_y=103.7757467)",0.488,3.2,BEEH LOW SEE TEMPLE,BEAUTY WORLD MRT STATION
36,35,1.3432260634851343,103.77232047776698,67,A,1.34090149,103.7757467,73,0.4603013499841881,"coordinate_pair(lat_x=1.3432260634851343, lon_x=103.77232047776698, lat_y=1.34090149, lon_y=103.7757467)",0.731,4.866666666666666,HOOVER PARK,BEAUTY WORLD MRT STATION
37,36,1.340324956700946,103.78148898638386,50,A,1.34090149,103.7757467,73,0.641549385735466,"coordinate_pair(lat_x=1.340324956700946, lon_x=103.78148898638386, lat_y=1.34090149, lon_y=103.7757467)",1.534,12.2,MAYFAIR PARK,BEAUTY WORLD MRT STATION
38,37,1.3467447070969545,103.77580814598711,260,A,1.34090149,103.7757467,73,0.6497720001536422,"coordinate_pair(lat_x=1.3467447070969543, lon_x=103.77580814598711, lat_y=1.34090149, lon_y=103.7757467)",0.717,5.183333333333334,LE WOOD,BEAUTY WORLD MRT STATION
39,38,1.3361257328341551,103.77154402823405,244,A,1.34090149,103.7757467,73,0.7072964873611511,"coordinate_pair(lat_x=1.3361257328341551, lon_x=103.77154402823405, lat_y=1.34090149, lon_y=103.7757467)",0.972,5.933333333333334,TOH YI COURT,BEAUTY WORLD MRT STATION
40,40,1.3227765030898124,103.95627599380826,168,A,1.320401487,103.9571838,36,0.2827146070381853,"coordinate_pair(lat_x=1.3227765030898124, lon_x=103.95627599380826, lat_y=1.320401487, lon_y=103.9571838)",0.706,4.916666666666667,28 EASTWOOD GREEN,BEDOK MRT STATION
41,41,1.3215059414671693,103.9522879035098,23,A,1.320401487,103.9571838,36,0.5579380227322791,"coordinate_pair(lat_x=1.3215059414671693, lon_x=103.9522879035098, lat_y=1.320401487, lon_y=103.9571838)",0.71,4.433333333333334,18 JALAN HAJI SALAM,BEDOK MRT STATION
42,42,1.3258087244209136,103.95274325828429,113,A,1.320401487,103.9571838,36,0.7779363792121617,"coordinate_pair(lat_x=1.3258087244209136, lon_x=103.95274325828429, lat_y=1.320401487, lon_y=103.9571838)",0.976,6.15,16 JALAN NIPAH,BEDOK MRT STATION
43,43,1.319857219889106,103.9493001112955,236,A,1.320401487,103.9571838,36,0.8784806339802222,"coordinate_pair(lat_x=1.319857219889106, lon_x=103.9493001112955, lat_y=1.320401487, lon_y=103.9571838)",1.122,7.033333333333333,18 KEW WALK,BEDOK MRT STATION
44,44,1.324150817688116,103.94782116284036,60,A,1.320401487,103.9571838,36,1.121194366883035,"coordinate_pair(lat_x=1.324150817688116, lon_x=103.94782116284036, lat_y=1.320401487, lon_y=103.9571838)",1.372,8.833333333333334,BEDOKVILLE,BEDOK MRT STATION
45,45,1.3337226968701588,103.91459957502391,15,A,1.334742117,103.9179783,150,0.3923276356194425,"coordinate_pair(lat_x=1.3337226968701588, lon_x=103.91459957502391, lat_y=1.334742117, lon_y=103.9179783)",1.3,8.7,EUNOS GROVE,BEDOK NORTH MRT STATION
46,46,1.336825641345256,103.921563443747,272,A,1.334742117,103.9179783,150,0.460987726947869,"coordinate_pair(lat_x=1.336825641345256, lon_x=103.921563443747, lat_y=1.334742117, lon_y=103.9179783)",0.536,3.683333333333333,BELVIA,BEDOK NORTH MRT STATION
47,45,1.3382814633554496,103.92023467931612,240,A,1.334742117,103.9179783,150,0.4666936044043157,"coordinate_pair(lat_x=1.3382814633554496, lon_x=103.92023467931612, lat_y=1.334742117, lon_y=103.9179783)",0.576,3.5,ARCHIPELAGO,BEDOK NORTH MRT STATION
48,47,1.331158877705397,103.92511734443046,63,A,1.334742117,103.9179783,150,0.88801510281122,"coordinate_pair(lat_x=1.331158877705397, lon_x=103.92511734443046, lat_y=1.334742117, lon_y=103.9179783)",5.987,38.25,539 BEDOK NORTH STREET 3,BEDOK NORTH MRT STATION
49,46,1.326966107804735,103.91538048996964,83,A,1.334742117,103.9179783,150,0.911603756223239,"coordinate_pair(lat_x=1.326966107804735, lon_x=103.91538048996964, lat_y=1.334742117, lon_y=103.9179783)",2.657,16.466666666666665,71L JALAN SENANG,BEDOK NORTH MRT STATION
50,50,1.3377537656920144,103.93221382582313,137,A,1.33660783,103.9322346,151,0.1274431604387186,"coordinate_pair(lat_x=1.3377537656920144, lon_x=103.93221382582313, lat_y=1.33660783, lon_y=103.9322346)",0.645,3.966666666666667,BAYWATER,BEDOK RESERVOIR MRT STATION
51,50,1.3353585240789,103.93660330019505,113,A,1.33660783,103.9322346,151,0.5051228497923065,"coordinate_pair(lat_x=1.3353585240789, lon_x=103.93660330019505, lat_y=1.33660783, lon_y=103.9322346)",0.962,6.483333333333333,MULTI STOREY CAR PARK,BEDOK RESERVOIR MRT STATION
52,51,1.3354911780761851,103.92737998600568,154,A,1.33660783,103.9322346,151,0.5537616324780169,"coordinate_pair(lat_x=1.3354911780761851, lon_x=103.92737998600568, lat_y=1.33660783, lon_y=103.9322346)",1.864,11.733333333333333,PAN ISLAND EXPRESSWAY,BEDOK RESERVOIR MRT STATION
53,52,1.331227712635909,103.93115292437344,215,A,1.33660783,103.9322346,151,0.6102064218012084,"coordinate_pair(lat_x=1.331227712635909, lon_x=103.93115292437344, lat_y=1.33660783, lon_y=103.9322346)",1.035,6.4,KAKI BUKIT VILLE,BEDOK RESERVOIR MRT STATION
54,53,1.3289725854321912,103.93537427563926,26,A,1.33660783,103.9322346,151,0.917942168567669,"coordinate_pair(lat_x=1.3289725854321912, lon_x=103.93537427563926, lat_y=1.33660783, lon_y=103.9322346)",1.412,9.166666666666666,137 BEDOK NORTH AVENUE 3,BEDOK RESERVOIR MRT STATION
55,55,1.3001754928952325,103.85261752754148,125,A,1.298918434,103.8503538,141,0.2878643942484364,"coordinate_pair(lat_x=1.3001754928952323, lon_x=103.85261752754148, lat_y=1.298918434, lon_y=103.8503538)",0.374,2.433333333333333,FORTUNE CENTRE,BENCOOLEN MRT STATION
56,55,1.3027162422524157,103.84837247621884,147,A,1.298918434,103.8503538,141,0.4762852456595815,"coordinate_pair(lat_x=1.3027162422524157, lon_x=103.84837247621884, lat_y=1.298918434, lon_y=103.8503538)",0.662,4.05,11 UPPER WILKIE ROAD,BENCOOLEN MRT STATION
57,56,1.2979025506259088,103.856830991058,115,A,1.298918434,103.8503538,141,0.7288526881357055,"coordinate_pair(lat_x=1.2979025506259088, lon_x=103.856830991058, lat_y=1.298918434, lon_y=103.8503538)",1.003,7.3,2 LIANG SEAH STREET,BENCOOLEN MRT STATION
