,MRT_Name,distance,rank
130,KALLANG MRT STATION,1.67,130
131,HARBOURFRONT MRT STATION,1.703,131
132,NAPIER MRT STATION,1.7078,132
133,TANJONG PAGAR MRT STATION,1.717,133
134,ANG MO KIO MRT STATION,1.7378,134
135,TELOK AYER MRT STATION,1.7418,135
136,JURONG EAST MRT STATION,1.7764000000000002,136
137,WOODLANDS MRT STATION,1.8079999999999998,137
138,GEYLANG BAHRU MRT STATION,1.8564,138
139,CANBERRA MRT STATION,1.8829999999999998,139
140,SAMUDERA LRT STATION,1.8981999999999999,140
141,ONE-NORTH MRT STATION,1.9018000000000002,141
142,RAFFLES PLACE MRT STATION,2.0032,142
143,DAMAI LRT STATION,2.0116,143
144,SPRINGLEAF MRT STATION,2.0358,144
145,DOVER MRT STATION,2.2072,145
146,BEDOK NORTH MRT STATION,2.2112000000000003,146
147,DOWNTOWN MRT STATION,2.2216,147
148,SHENTON WAY MRT STATION,2.243,148
149,CLEMENTI MRT STATION,2.2893999999999997,149
150,KRANJI MRT STATION,2.3964,150
151,BOTANIC GARDENS MRT STATION,2.5268,151
152,STADIUM MRT STATION,2.6424,152
153,MARINA BAY MRT STATION,2.8648,153
154,PUNGGOL POINT LRT STATION,2.932,154
155,SAM KEE LRT STATION,2.9532000000000003,155
156,PROMENADE MRT STATION,3.0986000000000002,156
157,PUNGGOL MRT STATION,3.3024,157
158,NICOLL HIGHWAY MRT STATION,3.3886000000000003,158
159,JOO KOON MRT STATION,3.3978,159
160,BAYFRONT MRT STATION,3.4507999999999996,160
161,WOODLANDS NORTH MRT STATION,3.8232,161
162,CHANGI AIRPORT MRT STATION,5.0152,162
163,GARDENS BY THE BAY MRT STATION,5.202,163
164,MARINA SOUTH PIER MRT STATION,5.5489999999999995,164
165,CHENG LIM LRT STATION,5.564400000000001,165
166,FARMWAY LRT STATION,5.7526,166
167,KENT RIDGE MRT STATION,5.784999999999999,167
168,COVE LRT STATION,5.8188,168
169,MERIDIAN LRT STATION,5.9606,169
170,CORAL EDGE LRT STATION,6.631,170
171,GUL CIRCLE MRT STATION,6.866200000000001,171
172,TUAS CRESCENT MRT STATION,7.824799999999999,172
173,TUAS WEST ROAD MRT STATION,9.5212,173
174,TUAS LINK MRT STATION,10.749,174
