Latitude,Longitude,PostalCode
1.23950937374665,103.831713535136,098088
1.24112546396591,103.833976435296,098089
1.23955365463201,103.833834880524,098090
1.23823180099272,103.83345303466,098091
1.23986579391015,103.836164241798,098092
1.23940577660772,103.835374894184,098093
1.2398744386186,103.835303190511,098094
1.23928596750223,103.834949517531,098095
1.23988127367247,103.8354801962,098096
1.24214162726535,103.834992720347,098097
1.24164119433411,103.834485778606,098098
1.2386093044013,103.831979458301,098099
1.24060400594427,103.834386897333,098100
1.23815822816977,103.833277952827,098101
1.24154434638815,103.836174984548,098102
1.24139278663204,103.836083984493,098103
1.24128420864665,103.835984540157,098104
1.2411871016531,103.835856810283,098105
1.24111739146725,103.835757270755,098106
1.2410111250544,103.835626315186,098107
1.24163127352221,103.836564455624,098108
1.24141982112925,103.836604516993,098109
1.24129826083897,103.836636574409,098110
1.24118016521856,103.836631228939,098111
1.24102006184985,103.836613004864,098112
1.24078291827175,103.836634300503,098113
1.24067021286301,103.836469153354,098114
1.24069652557062,103.83629533651,098115
1.24068669980659,103.83614594332,098116
1.240683228114,103.835986749031,098117
1.24065443691163,103.835813926797,098118
1.24066338310914,103.835572425879,098119
1.24082140378368,103.835530298687,098120
1.23863653961274,103.834042920966,098122
1.24124032526952,103.834769547811,098123
1.2410982043319,103.834662961145,098124
1.2417105216401,103.83522294012,098125
1.24024184400624,103.83385923965,098126
1.23942029058586,103.835594367691,098127
1.23985943730962,103.835989105938,098129
1.28034497967776,103.85214327784,018965
1.27671498470348,103.85332693259,018978
1.27722425590424,103.853694940431,018979
1.27964477985063,103.854971298319,018980
1.28076943496046,103.85265856205,018985
1.28076943496046,103.85265856205,018987
1.28391827859478,103.850009335033,048948
1.28637796973605,103.848644174617,049031
1.28645211654938,103.848686089265,049033
1.28648999846376,103.848706085605,049034
1.28577009942741,103.843980123077,058359
1.28898501713139,103.848418328387,058416
1.2849769373382,103.846432501538,058727
1.28413397156985,103.842519972664,059108
1.28848550713783,103.844049441497,059608
1.28815884552379,103.84328580622,059765
1.27929478994404,103.85055255474,068803
1.27708340683676,103.849181343878,068814
1.28093474477009,103.849822465585,068882
1.28260310867406,103.845922897507,068979
1.27939885865183,103.847332090991,069047
1.28231530612523,103.847007741506,069253
1.28215090944706,103.847233960336,069257
1.28247781021114,103.847237100696,069261
1.2813968231405,103.846673985306,069415
1.28255085810906,103.846099951639,069469
1.27516997533178,103.844496312711,078878
1.27679992794461,103.845618295766,078882
1.27388660363484,103.846235541939,079118
1.27346611331408,103.845580792153,079119
1.27426355675569,103.846006810697,079624
1.27461794087013,103.844319553903,079717
1.27464397840401,103.844741587444,079718
1.27588674304532,103.84592379296,079903
1.27657370051879,103.841998256188,088264
1.27527719885602,103.841582188188,088271
1.27999174548664,103.841890861805,088379
1.27676078386079,103.837156790123,088631
1.27667753253124,103.837165167958,088633
1.27559528558374,103.837559859281,088642
1.27630837663426,103.836847249847,088646
1.27642148912358,103.836886934775,088648
1.27672770094029,103.836763191395,088652
1.27679606619976,103.836916334517,088653
1.27691891886334,103.836837653403,088656
1.27527115232743,103.836832224912,088660
1.27603511634819,103.837502046356,088661
1.2808383082008,103.840952743025,088760
1.28005485775312,103.840325145158,088764
1.27713440770251,103.837762235688,088872
1.27705564592927,103.837600222149,088878
1.27713588402765,103.837524295904,088880
1.27703069198609,103.837479222424,088881
1.27712784729475,103.837299775756,088884
1.27708224123075,103.837197517685,088886
1.27713330537792,103.837141695252,088887
1.27362733676333,103.842673149136,088935
1.27362479209852,103.842613113459,088936
1.27362226368528,103.842560184302,088937
1.27360787087351,103.842516533383,088938
1.27928207136396,103.841605996034,089110
1.27937187659624,103.841610644458,089112
1.27954667049242,103.841595431874,089116
1.28247900203516,103.842474464752,089172
1.27484974873873,103.842184815289,089218
1.27394816638709,103.842723044191,089310
1.27394424345969,103.842666192015,089311
1.27394275328323,103.842606456445,089312
1.27394280683673,103.842552192066,089313
1.27393852759512,103.842492709874,089314
1.27673377166186,103.837554479802,089373
1.27670087825916,103.837456593144,089374
1.27669627784182,103.83740217505,089375
1.2767010963823,103.837349118253,089376
1.27643938173102,103.837639814256,089382
1.27645363442197,103.837699301906,089383
1.27645761534976,103.837749809563,089384
1.2765031644363,103.837841113557,089386
1.27648273555559,103.837942278878,089388
1.27651526520968,103.838134418448,089392
1.2780311248899,103.84238810855,089692
1.27525785250056,103.841354440613,089764
1.27507530834388,103.841321226553,089767
1.27591172996474,103.840477562597,089775
1.27622591892057,103.836482403407,089915
1.27608580664997,103.836408443788,089921
1.27605424707176,103.83636979769,089923
1.27600471502759,103.836348370229,089925
1.27599094070743,103.836294694332,089927
1.27595956561662,103.836257176799,089929
1.27592752943445,103.836219659267,089931
1.27589600150629,103.836180837959,089933
1.2762486669325,103.836027677376,089934
1.27586326986725,103.836142467716,089935
1.27583202048239,103.836103559253,089937
1.27579993546357,103.836064781077,089939
1.27577211272273,103.836019863207,089941
1.27573744754296,103.835987234614,089943
1.27570563563836,103.835950613828,089945
1.27567349816312,103.835912713526,089947
1.27564573872083,103.835872129301,089949
1.27561447395341,103.835837488893,089951
1.27558484970601,103.835800352352,089953
1.27592976740381,103.835660206133,089954
1.27555192452189,103.835767399395,089955
1.27552475110226,103.835730562071,089956
1.2754447935307,103.835677575304,089957
1.26489010870694,103.816454088201,098012
1.2644969956624,103.816309933765,098013
1.26412146566211,103.815953588119,098014
1.26456760572345,103.815500006786,098015
1.26494340211205,103.815788514101,098016
1.26516158860582,103.816100626097,098017
1.26558236311389,103.816464903861,098018
