,Latitude_x,Longitude_x,index_x,join_key,index_y,Latitude_y,Longitude_y,euclidean_distance,MRT_Name,coordinate_pair,distance,duration,centroid_name
0,1.4442233028584144,103.807020253402,179,A,12,1.440588562,103.8009905,0.7826908884149876,ADMIRALTY MRT STATION,"coordinate_pair(lat_x=1.4442233028584144, lon_x=103.807020253402, lat_y=1.440588562, lon_y=103.8009905)",0.83,4.983333333333333,WOODLANDS AVENUE 7
1,1.4320230193468555,103.79948334428713,92,A,12,1.440588562,103.8009905,0.9670674111181266,ADMIRALTY MRT STATION,"coordinate_pair(lat_x=1.4320230193468555, lon_x=103.79948334428713, lat_y=1.440588562, lon_y=103.8009905)",5.012,30.533333333333335,FORESTVILLE
2,1.4299262711858671,103.78453363789374,155,A,12,1.440588562,103.8009905,2.179939161179029,ADMIRALTY MRT STATION,"coordinate_pair(lat_x=1.4299262711858671, lon_x=103.78453363789374, lat_y=1.440588562, lon_y=103.8009905)",2.711,16.8,WOODHAVEN
3,1.4427103141569004,103.82493752346971,7,A,12,1.440588562,103.8009905,2.6723793509719496,ADMIRALTY MRT STATION,"coordinate_pair(lat_x=1.4427103141569004, lon_x=103.82493752346971, lat_y=1.440588562, lon_y=103.8009905)",4.003,25.583333333333332,THE NAUTICAL
4,1.4387862182555462,103.82696331794833,178,A,12,1.440588562,103.8009905,2.894081366513503,ADMIRALTY MRT STATION,"coordinate_pair(lat_x=1.4387862182555462, lon_x=103.82696331794833, lat_y=1.440588562, lon_y=103.8009905)",4.286,27.466666666666665,SEMBAWANG SPRINGS ESTATE
5,1.3153924704740427,103.88324168111036,39,A,9,1.316432612,103.882906,0.12152932874436105,ALJUNIED MRT STATION,"coordinate_pair(lat_x=1.3153924704740427, lon_x=103.88324168111036, lat_y=1.316432612, lon_y=103.882906)",0.104,0.6333333333333333,58A LORONG 25A GEYLANG
6,1.3119069122332239,103.88248663696145,122,A,9,1.316432612,103.882906,0.5053895806342504,ALJUNIED MRT STATION,"coordinate_pair(lat_x=1.3119069122332239, lon_x=103.88248663696145, lat_y=1.316432612, lon_y=103.882906)",0.658,5.566666666666666,25 LORONG 22 GEYLANG
7,1.313565514601674,103.88772647647792,207,A,9,1.316432612,103.882906,0.6235349378948157,ALJUNIED MRT STATION,"coordinate_pair(lat_x=1.313565514601674, lon_x=103.88772647647792, lat_y=1.316432612, lon_y=103.882906)",1.014,6.416666666666667,GEYLANG CONSERVATION AREA
8,1.3128822386089016,103.8785401488334,268,A,9,1.316432612,103.882906,0.6256211807365022,ALJUNIED MRT STATION,"coordinate_pair(lat_x=1.3128822386089016, lon_x=103.8785401488334, lat_y=1.316432612, lon_y=103.882906)",0.932,6.483333333333333,2 LORONG 15 GEYLANG
9,1.3103966885794467,103.8764983876758,189,A,9,1.316432612,103.882906,0.9786941090838622,ALJUNIED MRT STATION,"coordinate_pair(lat_x=1.3103966885794467, lon_x=103.8764983876758, lat_y=1.316432612, lon_y=103.882906)",1.299,8.433333333333334,38 LORONG 6 GEYLANG
10,1.3721445941154755,103.84034143999548,107,A,52,1.369428557,103.8494552,1.0571704936120345,ANG MO KIO MRT STATION,"coordinate_pair(lat_x=1.3721445941154755, lon_x=103.84034143999548, lat_y=1.369428557, lon_y=103.8494552)",2.361,15.1,MAYFLOWER GARDENS
11,1.3634394487245356,103.8609530753106,249,A,52,1.369428557,103.8494552,1.4412311450083883,ANG MO KIO MRT STATION,"coordinate_pair(lat_x=1.3634394487245356, lon_x=103.8609530753106, lat_y=1.369428557, lon_y=103.8494552)",2.814,17.516666666666666,SERANGOON GARDEN ESTATE
12,1.3650003606033028,103.86401873424361,84,A,52,1.369428557,103.8494552,1.6921540951008067,ANG MO KIO MRT STATION,"coordinate_pair(lat_x=1.3650003606033028, lon_x=103.86401873424361, lat_y=1.369428557, lon_y=103.8494552)",2.665,16.75,SERANGOON GARDEN ESTATE
13,1.3607507024136762,103.86254334552278,139,A,52,1.369428557,103.8494552,1.745822298109155,ANG MO KIO MRT STATION,"coordinate_pair(lat_x=1.3607507024136762, lon_x=103.86254334552278, lat_y=1.369428557, lon_y=103.8494552)",3.199,19.833333333333332,SERANGOON GARDEN ESTATE
14,1.368333161386287,103.86524029867807,166,A,52,1.369428557,103.8494552,1.7589442931739008,ANG MO KIO MRT STATION,"coordinate_pair(lat_x=1.368333161386287, lon_x=103.86524029867807, lat_y=1.369428557, lon_y=103.8494552)",2.105,13.9,SERANGOON GARDEN ESTATE
15,1.3914827023402607,103.90111313214815,61,A,115,1.387994311,103.9054153,0.6157693058899314,BAKAU LRT STATION,"coordinate_pair(lat_x=1.3914827023402607, lon_x=103.90111313214815, lat_y=1.387994311, lon_y=103.9054153)",1.382,8.583333333333334,BEAUTY GARDEN
16,1.3974307557931203,103.91380149062728,153,A,115,1.387994311,103.9054153,1.4035827677412673,BAKAU LRT STATION,"coordinate_pair(lat_x=1.3974307557931203, lon_x=103.91380149062728, lat_y=1.387994311, lon_y=103.9054153)",28.856,177.01666666666668,RIVER ISLES
17,1.3746077247779769,103.90067345887967,86,A,115,1.387994311,103.9054153,1.5790959128045232,BAKAU LRT STATION,"coordinate_pair(lat_x=1.3746077247779769, lon_x=103.90067345887967, lat_y=1.387994311, lon_y=103.9054153)",1.917,11.633333333333333,THE FLORIDA
18,1.380916573868064,103.89269308774468,175,A,115,1.387994311,103.9054153,1.6184671365219474,BAKAU LRT STATION,"coordinate_pair(lat_x=1.380916573868064, lon_x=103.89269308774468, lat_y=1.387994311, lon_y=103.9054153)",1.904,11.7,JEWEL @ BUANGKOK
