S/N,MRT.Name,Latitude,Longitude,Color
57,HOLLAND VILLAGE MRT STATION,1.312240296,103.7963991,yellow
58,LABRADOR PARK MRT STATION,1.272227051,103.8027445,yellow
59,BOTANIC GARDENS MRT STATION,1.322113736,103.8149845,yellow
60,ONE-NORTH MRT STATION,1.299689535,103.7874128,yellow
61,KENT RIDGE MRT STATION,1.293536986,103.7845724,yellow
62,HAW PAR VILLA MRT STATION,1.281956887,103.781989,yellow
63,MARINA BAY MRT STATION,1.276311144,103.854605,red
64,KING ALBERT PARK MRT STATION,1.335661613,103.7833991,blue
65,LITTLE INDIA MRT STATION,1.306800197,103.8496471,purple
66,ROCHOR MRT STATION,1.303852185,103.8527694,blue
67,SENJA LRT STATION,1.382725471,103.7623443,grey
68,MOUNTBATTEN MRT STATION,1.306201905,103.8825281,yellow
69,CHOA CHU KANG MRT STATION,1.385363165,103.7443708,red
70,BOON KENG MRT STATION,1.319939577,103.8620527,purple
71,BARTLEY MRT STATION,1.342501178,103.8801779,yellow
72,SEGAR LRT STATION,1.387785087,103.7695997,grey
73,HILLVIEW MRT STATION,1.362344868,103.7674183,blue
74,BEAUTY WORLD MRT STATION,1.34090149,103.7757467,blue
75,BUKIT PANJANG MRT STATION,1.379561212,103.7611889,blue
76,CASHEW MRT STATION,1.369815449,103.7644392,blue
77,JOO KOON MRT STATION,1.327694365,103.6780851,green
78,YEW TEE MRT STATION,1.397297711,103.7473577,red
79,YISHUN MRT STATION,1.429443085,103.835005,red
80,YIO CHU KANG MRT STATION,1.381498825,103.8451707,red
81,WOODLEIGH MRT STATION,1.339190045,103.8708183,purple
82,WOODLANDS MRT STATION,1.436057617,103.7879388,red
83,UPPER CHANGI MRT STATION,1.341739774,103.9614728,blue
84,TELOK AYER MRT STATION,1.282068948,103.8486488,blue
85,TONGKANG LRT STATION,1.389347947,103.8858442,grey
86,UBI MRT STATION,1.32997426,103.8992267,blue
87,TOA PAYOH MRT STATION,1.332596728,103.8475773,red
88,TIONG BAHRU MRT STATION,1.286102536,103.8274451,green
89,THANGGAM LRT STATION,1.397318156,103.8756352,grey
90,PROMENADE MRT STATION,1.293997986,103.86035,yellow
91,BRAS BASAH MRT STATION,1.296861686,103.8506674,yellow
92,NICOLL HIGHWAY MRT STATION,1.29956843,103.8639777,yellow
93,POTONG PASIR MRT STATION,1.331879714,103.8690579,purple
94,LAKESIDE MRT STATION,1.344259115,103.7209491,green
95,SAMUDERA LRT STATION,1.415901722,103.9021563,grey
96,RANGGUNG LRT STATION,1.384233559,103.8971947,grey
97,SEMBAWANG MRT STATION,1.449050822,103.8200461,red
98,PUNGGOL LRT STATION,1.405194701,103.9024119,grey
99,KANGKAR LRT STATION,1.383959117,103.9022254,grey
100,PIONEER MRT STATION,1.337587011,103.6973216,green
101,BUGIS MRT STATION,1.300465085,103.8557067,green
102,NEWTON MRT STATION,1.312318922,103.8379846,red
103,BUONA VISTA MRT STATION,1.307223708,103.7902535,yellow
104,OUTRAM PARK MRT STATION,1.279739707,103.8395135,green
105,CHINATOWN MRT STATION,1.284223919,103.8451438,purple
106,EXPO MRT STATION,1.335382526,103.9623747,green
107,RAFFLES PLACE MRT STATION,1.283933262,103.8514631,green
108,TUAS CRESCENT MRT STATION,1.321026956,103.6490782,green
109,TUAS LINK MRT STATION,1.340882425,103.6369914,green
110,TUAS WEST ROAD MRT STATION,1.329985047,103.6396166,green
111,CITY HALL MRT STATION,1.292989907,103.8525426,green
112,BISHAN MRT STATION,1.351315801,103.8491403,yellow
113,FERNVALE LRT STATION,1.391885892,103.8763086,grey
114,PUNGGOL MRT STATION,1.414927334,103.9101664,purple
115,BUANGKOK MRT STATION,1.38287002,103.8931226,purple
116,BAKAU LRT STATION,1.387994311,103.9054153,grey
117,FARMWAY LRT STATION,1.397170196,103.8893048,grey
118,COMMONWEALTH MRT STATION,1.302501999,103.7982285,green
119,KUPANG LRT STATION,1.39821283,103.8812562,grey
120,DAMAI LRT STATION,1.405234836,103.9086035,grey
121,QUEENSTOWN MRT STATION,1.294550852,103.8060772,green
122,KALLANG MRT STATION,1.31148891,103.8713865,green
123,RUMBIA LRT STATION,1.391468495,103.9059736,grey
124,PETIR LRT STATION,1.377772043,103.7666458,grey
125,BOON LAY MRT STATION,1.338610339,103.7060849,green
126,KEAT HONG LRT STATION,1.378603251,103.7490557,grey
127,JELAPANG LRT STATION,1.38673927,103.7645341,grey
128,CHOA CHU KANG LRT STATION,1.384755411,103.7445377,grey
129,SENGKANG LRT STATION,1.391609364,103.8954426,grey
130,HARBOURFRONT MRT STATION,1.265389384,103.8215302,purple
131,PENDING LRT STATION,1.376135743,103.7712612,grey
132,CLARKE QUAY MRT STATION,1.288710232,103.8466109,purple
133,BUKIT PANJANG LRT STATION,1.377926946,103.7631029,grey
134,FAJAR LRT STATION,1.384573177,103.7708872,grey
135,KOVAN MRT STATION,1.360179171,103.8850649,purple
136,LORONG CHUAN MRT STATION,1.351639278,103.8639457,yellow
137,MARYMOUNT MRT STATION,1.348707263,103.8394231,yellow
138,CALDECOTT MRT STATION,1.337245613,103.8401618,yellow
139,DOWNTOWN MRT STATION,1.279446382,103.8528408,blue
