S/N,MRT.Name,Latitude,Longitude
100,PIONEER MRT STATION,1.337587011,103.6973216
101,BUGIS MRT STATION,1.300465085,103.8557067
102,NEWTON MRT STATION,1.312318922,103.8379846
103,BUONA VISTA MRT STATION,1.307223708,103.7902535
104,OUTRAM PARK MRT STATION,1.279739707,103.8395135
105,CHINATOWN MRT STATION,1.284223919,103.8451438
106,EXPO MRT STATION,1.335382526,103.9623747
107,RAFFLES PLACE MRT STATION,1.283933262,103.8514631
108,TUAS CRESCENT MRT STATION,1.321026956,103.6490782
109,TUAS LINK MRT STATION,1.340882425,103.6369914
110,TUAS WEST ROAD MRT STATION,1.329985047,103.6396166
111,CITY HALL MRT STATION,1.292989907,103.8525426
112,BISHAN MRT STATION,1.351315801,103.8491403
113,FERNVALE LRT STATION,1.391885892,103.8763086
114,PUNGGOL MRT STATION,1.414927334,103.9101664
115,BUANGKOK MRT STATION,1.38287002,103.8931226
116,BAKAU LRT STATION,1.387994311,103.9054153
117,FARMWAY LRT STATION,1.397170196,103.8893048
118,COMMONWEALTH MRT STATION,1.302501999,103.7982285
119,KUPANG LRT STATION,1.39821283,103.8812562
120,DAMAI LRT STATION,1.405234836,103.9086035
121,QUEENSTOWN MRT STATION,1.294550852,103.8060772
122,KALLANG MRT STATION,1.31148891,103.8713865
123,RUMBIA LRT STATION,1.391468495,103.9059736
124,PETIR LRT STATION,1.377772043,103.7666458
125,BOON LAY MRT STATION,1.338610339,103.7060849
126,KEAT HONG LRT STATION,1.378603251,103.7490557
127,JELAPANG LRT STATION,1.38673927,103.7645341
128,CHOA CHU KANG LRT STATION,1.384755411,103.7445377
129,SENGKANG LRT STATION,1.391609364,103.8954426
130,HARBOURFRONT MRT STATION,1.265389384,103.8215302
131,PENDING LRT STATION,1.376135743,103.7712612
132,CLARKE QUAY MRT STATION,1.288710232,103.8466109
133,BUKIT PANJANG LRT STATION,1.377926946,103.7631029
134,FAJAR LRT STATION,1.384573177,103.7708872
135,KOVAN MRT STATION,1.360179171,103.8850649
136,LORONG CHUAN MRT STATION,1.351639278,103.8639457
137,MARYMOUNT MRT STATION,1.348707263,103.8394231
138,CALDECOTT MRT STATION,1.337245613,103.8401618
139,DOWNTOWN MRT STATION,1.279446382,103.8528408
140,GEYLANG BAHRU MRT STATION,1.321301102,103.8716226
141,BENDEMEER MRT STATION,1.313672528,103.8629776
142,BENCOOLEN MRT STATION,1.298918434,103.8503538
143,FORT CANNING MRT STATION,1.292481948,103.8443314
144,KAKI BUKIT MRT STATION,1.33496736,103.9084593
145,JALAN BESAR MRT STATION,1.305171388,103.8552957
146,MATTAR MRT STATION,1.326876715,103.8832475
147,MACPHERSON MRT STATION,1.326150245,103.8892986
148,BAYFRONT MRT STATION,1.281873789,103.8590798
149,FARRER ROAD MRT STATION,1.317439152,103.8073792
150,JURONG EAST MRT STATION,1.33315262,103.7422865
151,BEDOK NORTH MRT STATION,1.334742117,103.9179783
152,BEDOK RESERVOIR MRT STATION,1.33660783,103.9322346
153,ORCHARD MRT STATION,1.302422248,103.8238685
154,LENTOR MRT STATION,1.38550658,103.8357438
155,BRIGHT HILL MRT STATION,1.363846766,103.8338992
156,SPRINGLEAF MRT STATION,1.397581061,103.8178569
157,MARINA SOUTH PIER MRT STATION,1.271027036,103.8624475
158,CANBERRA MRT STATION,1.443076641,103.8297026
159,WOODLANDS SOUTH MRT STATION,1.427488114,103.7927299
160,WOODLANDS NORTH MRT STATION,1.447782173,103.7851355
161,GUL CIRCLE MRT STATION,1.319470901,103.6605305
162,HAVELOCK MRT STATION,1.28850524,103.8335858
163,NAPIER MRT STATION,1.306782234,103.8189568
164,SHENTON WAY MRT STATION,1.277716828,103.8503676
165,GARDENS BY THE BAY MRT STATION,1.278487259,103.8674547
166,GREAT WORLD MRT STATION,1.293316457,103.8339066
167,MAXWELL MRT STATION,1.280533298,103.8438837
168,ORCHARD BOULEVARD MRT STATION,1.303623073,103.8236504
169,TELOK BLANGAH MRT STATION,1.270706478,103.8097616
170,TECK WHYE LRT STATION,1.376684679,103.7537122
171,TANJONG PAGAR MRT STATION,1.276568292,103.8460067
172,TANAH MERAH MRT STATION,1.327310982,103.9464517
173,TAN KAH KEE MRT STATION,1.326392241,103.8065482
174,UPPER THOMSON MRT STATION,1.354416434,103.8328985
175,MAYFLOWER MRT STATION,1.371463188,103.8365678
