,PLANNING_A,PLANNING_1,geometry,within
290,,BEDOK,"LINESTRING (103.9345140186892 1.3317017591571627, 103.93452582038803 1.3317036750151654, 103.93455477476856 1.3317096670334547, 103.9347755832729 1.3317611414841357, 103.93479941504512 1.331768417002895, 103.93490451912776 1.331793020367802, 103.93494151297485 1.3318012973736124)",BEDOK NORTH
291,,BEDOK,"LINESTRING (103.93527439201276 1.331875778646027, 103.93555917724723 1.3319390857600744)",BEDOK NORTH
292,,BEDOK,"LINESTRING (103.9370733734394 1.3321505092031223, 103.93740883317236 1.332116857183844)",BEDOK NORTH
293,,BEDOK,"LINESTRING (103.93775128754025 1.3329224618761881, 103.93773531184445 1.3328517766371386, 103.93773815987637 1.3321596068764063)",BEDOK NORTH
294,,BEDOK,"LINESTRING (103.9385526532458 1.3331542619197052, 103.93779534292867 1.3329892960430096, 103.93777504276379 1.3329678969665952)",BEDOK NORTH
295,,BEDOK,"LINESTRING (103.93897452783756 1.33326336599195, 103.93902338954305 1.3332647891578213, 103.9390683222748 1.3332547370302406, 103.93913108701152 1.333269809144015, 103.93916461070461 1.333299956443768, 103.9392188168254 1.3333179002778939)",BEDOK NORTH
296,,CLEMENTI,"LINESTRING (103.76590848224835 1.3186244067974962, 103.7659030469675 1.3185556026333212, 103.7658551069527 1.3184748814096083, 103.76585451135466 1.3184696351775782)",CLEMENTI NORTH
297,,CLEMENTI,"LINESTRING (103.76700142186567 1.320265884231041, 103.76696298191901 1.3202285320592855, 103.7667846168366 1.3200554790106183, 103.76652227320285 1.3197797078222606, 103.76629870810018 1.319548964137019, 103.76624539813271 1.3194749404943256)",CLEMENTI NORTH
298,,BEDOK,"LINESTRING (103.93921812855152 1.3333183579153616, 103.93942112824817 1.33337802351385, 103.93945705833724 1.3333885840109723)",BEDOK NORTH
299,,BEDOK,"LINESTRING (103.93870615202164 1.3316612848949185, 103.93873664551734 1.3316434160825452, 103.93879659095488 1.3316046796337913, 103.93893783536731 1.3315128562837302, 103.93904049608616 1.3314270621708646, 103.93912022115143 1.3313614571403838, 103.93919409151586 1.3312814820321204)",BEDOK NORTH
300,,JURONG EAST,"LINESTRING (103.73594553752825 1.3422447595428848, 103.73596882175572 1.3422934568156706, 103.73599253678157 1.34235507112484, 103.73601018283401 1.3424194000890441, 103.73602931098148 1.342497087461063, 103.73608157916021 1.3426360232517447, 103.73612856198834 1.3427530081269698, 103.73616714083296 1.3428185108868758, 103.73622105417823 1.342891902115054, 103.73620815173858 1.342915404189585, 103.73620842398776 1.3429157650413739)",YUHUA
301,,JURONG EAST,"LINESTRING (103.74596494461365 1.3392895332349906, 103.745866372144 1.3393585688033516, 103.74581599148864 1.3394430327314037)",TOH GUAN
302,,JURONG EAST,"LINESTRING (103.7470654537491 1.3389259134347884, 103.74702815083894 1.338930923191706)",TOH GUAN
303,,JURONG EAST,"LINESTRING (103.74637627472273 1.3390380146301262, 103.74656247046333 1.3389826489024532)",TOH GUAN
304,,JURONG EAST,"LINESTRING (103.74697118478477 1.3389359358685604, 103.746906904429 1.3389420814520459)",TOH GUAN
305,,JURONG EAST,"LINESTRING (103.74608407210222 1.3392061000279085, 103.74596494461365 1.3392895332349906)",TOH GUAN
306,,JURONG EAST,"LINESTRING (103.74637627472273 1.3390380146301262, 103.74628407873863 1.3390731585192424)",TOH GUAN
307,,JURONG EAST,"LINESTRING (103.74317977624047 1.3410999654213078, 103.74306337667782 1.3411565163721821)",YUHUA
308,,JURONG EAST,"LINESTRING (103.74398933254253 1.3285306628958944, 103.74408628074936 1.328441379518442)",JURONG REGIONAL CENTRE
309,,JURONG EAST,"LINESTRING (103.74398933254253 1.3285306628958944, 103.74392459486013 1.3285932542494792)",JURONG REGIONAL CENTRE
310,,JURONG EAST,"LINESTRING (103.74446702710338 1.3281078324146016, 103.74444756229921 1.3281421658706978)",JURONG REGIONAL CENTRE
311,,SENGKANG,"LINESTRING (103.89705316527191 1.3894959623718837, 103.89706457878737 1.38955511196166, 103.89706001584662 1.3896234503189853, 103.89704346968557 1.389665946812445, 103.89705462125178 1.3896742521848073)",SENGKANG TOWN CENTRE
312,,SENGKANG,"LINESTRING (103.89656481159774 1.388232358978189, 103.89655482006695 1.3882565392164294, 103.89660760178596 1.3882986503907497, 103.89665610408872 1.388359665591279, 103.89667179610592 1.3883998641298885, 103.89673361611831 1.388592004454854, 103.89677379885913 1.388699919268095, 103.89685963126895 1.3889147901184316, 103.89687692122308 1.388964707807362)",SENGKANG TOWN CENTRE
313,,SENGKANG,"LINESTRING (103.89640964447734 1.3877238458279688, 103.89641877552623 1.3877808901256987, 103.89642105905695 1.3878241512015186, 103.89640926725387 1.387866265017685, 103.89640013832434 1.3878892360980635, 103.89642801512925 1.3878991779232885)",SENGKANG TOWN CENTRE
314,,SENGKANG,"LINESTRING (103.89618412319282 1.3869352612733719, 103.89629969735965 1.3872824252833766, 103.89632214582987 1.3874612146535588, 103.89637350339471 1.3876093751659664, 103.89640964447734 1.3877238458279688)",SENGKANG TOWN CENTRE
315,,SENGKANG,"LINESTRING (103.8862616125601 1.391028775214375, 103.88644465930136 1.3913157103144385, 103.88647889634555 1.3913702652807483, 103.88652169258339 1.3914353486548772, 103.8865749495978 1.391479374585451, 103.88662535230048 1.3915042588169606, 103.8866519809576 1.3915128722759886, 103.88664221385719 1.391532634654296)",BUANGKOK
316,,SENGKANG,"LINESTRING (103.88614603474788 1.3908256712895588, 103.88623105442903 1.3909798353558205)",BUANGKOK
317,,SENGKANG,"LINESTRING (103.88591918592951 1.390453858989361, 103.88614603474788 1.3908256712895588, 103.88611880457528 1.3908405631559069)",BUANGKOK
318,,PASIR RIS,"LINESTRING (103.95115902622003 1.372948997523799, 103.95119773778133 1.3730098347713917, 103.95122621078374 1.3730654000938287, 103.95128564668144 1.3732305463671297, 103.95130941451808 1.3733907701570165, 103.95131297112549 1.37344713345834, 103.9513109859415 1.3738818759032476)",PASIR RIS TOWN
319,,PASIR RIS,"LINESTRING (103.94898419181253 1.3722896849084467, 103.94979553048968 1.3720600195465795, 103.94990369833329 1.3720572378529885, 103.95000249992026 1.3720818922558102, 103.95008099725297 1.372139836326425, 103.9500741488475 1.372168481436799)",PASIR RIS TOWN
320,,PASIR RIS,"LINESTRING (103.9500741488475 1.372168481436799, 103.95029889071569 1.3724045957882998)",PASIR RIS TOWN
321,,DOWNTOWN CORE,"LINESTRING (103.85039448179057 1.2838329430476096, 103.8505850798283 1.2838154576744407)",RAFFLES PLACE
322,,TOA PAYOH,"LINESTRING (103.85618882216977 1.3343674691670098, 103.85615585800541 1.3344007772187847, 103.85620014568275 1.3344533502252054, 103.85620809445774 1.3344682079548593, 103.8562064169351 1.3344772814593764)",BOON TECK
323,,JURONG EAST,"LINESTRING (103.74729678537896 1.3384452795483546, 103.74729980988087 1.3383176016165457)",TOH GUAN
324,,PASIR RIS,"LINESTRING (103.9373356759238 1.3781783553043245, 103.93722261771825 1.3780152819644862)",ELIAS
325,,PASIR RIS,"LINESTRING (103.94085400052164 1.3800472922457092, 103.9408772628526 1.3800291505779176, 103.94091275342095 1.3800012945946698)",ELIAS
326,,PASIR RIS,"LINESTRING (103.96055485696995 1.370658107635921, 103.96056170368986 1.3705999866347522, 103.96054780403101 1.3705715397654072, 103.96055789905094 1.3704618618150322, 103.96056188581512 1.3703562058890955, 103.96056255682271 1.3702668286570248, 103.96056075660515 1.3702084322874537, 103.9605545048888 1.3701161225791025, 103.960544013003 1.370010058654829, 103.96052607563001 1.3698878504567942, 103.96051599799833 1.369833124430173, 103.96050264731163 1.3697694734291752, 103.96047528272825 1.3696579064573629, 103.96045731803812 1.3695969326137918, 103.96046699443005 1.3695744261433354, 103.96044671760494 1.3695111652913365)",PASIR RIS DRIVE
327,,PASIR RIS,"LINESTRING (103.9423973828148 1.378890376317065, 103.94190285517202 1.3792611054263721, 103.9418744599304 1.3792730361765182, 103.94182341138706 1.3792784683116952, 103.94182007230856 1.379278822975)",ELIAS
328,,PASIR RIS,"LINESTRING (103.94278138741686 1.3740576891461396, 103.94294954285107 1.373991662918772)",PASIR RIS TOWN
329,,PASIR RIS,"LINESTRING (103.95926538575576 1.368173010887483, 103.95928797778183 1.3681603911297018, 103.9593256211242 1.368153714948509, 103.95947640510339 1.3680648443563277)",PASIR RIS DRIVE
330,,PASIR RIS,"LINESTRING (103.95673311452254 1.3717229855022386, 103.95674799581161 1.3716896318534064)",PASIR RIS DRIVE
331,,PASIR RIS,"LINESTRING (103.9432039206667 1.3783067203830366, 103.94336782800036 1.3781835449200732)",ELIAS
332,,PASIR RIS,"LINESTRING (103.94413704501582 1.3776198479090631, 103.9441624189902 1.377602782305066, 103.94421638854988 1.3775931293259671, 103.94435619916572 1.3775169519373236, 103.9448066294797 1.3772412412924833, 103.94487076845596 1.3771992903224453)",place
333,,YISHUN,"LINESTRING (103.82993220800525 1.4344363257446757, 103.82992973687175 1.4344344808388585, 103.82988248071243 1.4343991933971187, 103.82984949063382 1.4343734406836819, 103.82981140553582 1.4343390033564443)",YISHUN WEST
334,,YISHUN,"LINESTRING (103.8416093050154 1.4321070410972399, 103.84176565448224 1.4319670929395822)",YISHUN EAST
335,,YISHUN,"LINESTRING (103.84178710025837 1.4319482938498702, 103.84183760287769 1.43190442930471, 103.84186942634985 1.4318410703624682, 103.8419392989995 1.4317818876283863)",YISHUN EAST
336,,YISHUN,"LINESTRING (103.84227690419884 1.431513131112374, 103.84251973036065 1.4312986828807006)",YISHUN EAST
337,,YISHUN,"LINESTRING (103.84356751842557 1.4310694583685641, 103.84352465725924 1.4310591705180247)",YISHUN EAST
338,,YISHUN,"LINESTRING (103.84612802151791 1.42749317313636, 103.84613078846616 1.4273636691263591, 103.84612386968146 1.427268978655689)",YISHUN EAST
339,,YISHUN,"LINESTRING (103.84612248577257 1.4272550532693147, 103.84611625893145 1.427165236411295, 103.84609965539097 1.4271192830652335, 103.84609965521437 1.4270872550204867)",YISHUN EAST
340,,YISHUN,"LINESTRING (103.84615638179656 1.4266472202061724, 103.84616122417744 1.4266235475515117, 103.84616260720303 1.4264780299780033)",YISHUN EAST
341,,YISHUN,"LINESTRING (103.84617021555304 1.4263109279178998, 103.8461722910532 1.4262663680917163, 103.84617782493193 1.4261674993894744, 103.84617851640367 1.426087429725246, 103.84617021390196 1.4260129300882824, 103.84616329538619 1.4259662812320073, 103.84614461682453 1.4258876043964968, 103.84612732045186 1.4258367774372285, 103.84611574101775 1.4258037175777158, 103.84610027248851 1.425772288307835)",YISHUN EAST
342,,YISHUN,"LINESTRING (103.845599463571 1.4251774249338172, 103.84542789368749 1.4249984875130663)",YISHUN EAST
343,,YISHUN,"LINESTRING (103.84541405710598 1.4249845621917117, 103.84531236028221 1.4248780359004882)",YISHUN EAST
344,,YISHUN,"LINESTRING (103.83156752983456 1.4223417400977336, 103.83156753049161 1.422659472972814, 103.83158387220787 1.4227247373090115, 103.83161178780207 1.4227471474670454, 103.8316296571585 1.4227653740299913)",KHATIB
345,,JURONG EAST,"LINESTRING (103.74728669324568 1.3385091986996296, 103.74728580269804 1.3385114035063843, 103.74728490496503 1.3385135196852607, 103.7472839712903 1.338515618679974, 103.74728300077523 1.338517702299199, 103.74728199431847 1.338519767829881, 103.7472809528186 1.3385218152720693, 103.74727987537707 1.3385238437213363, 103.74727876289242 1.3385258540821092, 103.74727761536474 1.3385278436412853, 103.74727643459111 1.3385298133032733, 103.74727521967303 1.3385317612593506, 103.74727397061048 1.3385336884138457, 103.74727268830208 1.3385355929580833, 103.74727137364638 1.3385374748920948, 103.7472700266434 1.3385393333115192, 103.74726864729321 1.3385411673119763, 103.74726723559576 1.3385429777978288, 103.74726579334826 1.338544762056071, 103.74726432055061 1.3385465218954098, 103.74726281810153 1.3385482546028078, 103.74726128510238 1.3385499610825782, 103.74725972245177 1.3385516404304083, 103.74725813104828 1.3385532917419323, 103.74725651179048 1.3385549150172178, 103.7472548637798 1.3385565102562154, 103.7472531834219 1.3385580810762452, 103.74725180049774 1.338559333570848)",TOH GUAN
346,,PASIR RIS,"LINESTRING (103.96129791716098 1.3666706198596, 103.96130729791128 1.3666481929867373, 103.96131676355901 1.366633933402894, 103.9613351901565 1.3666110231155608, 103.96139855398403 1.3665183569734776, 103.96142638200908 1.3664902379602148)",PASIR RIS DRIVE
347,,TAMPINES,"LINESTRING (103.95528253324918 1.3429739482699965, 103.95534315548935 1.3429034528875254)",SIMEI
348,,TAMPINES,"LINESTRING (103.95760995549684 1.344639594295057, 103.9576606178679 1.3452220254594542)",SIMEI
349,,TAMPINES,"LINESTRING (103.95761887940371 1.3418892723907783, 103.95754242315462 1.3418229431281756)",SIMEI
350,,TAMPINES,"LINESTRING (103.95757410331444 1.3442726303118129, 103.95757682128466 1.3442514861811277, 103.95757664367173 1.344221899976226, 103.95756897782827 1.344128283492168, 103.95753888181085 1.3437964600186723, 103.95753747091885 1.3437044430308838)",SIMEI
351,,TAMPINES,"LINESTRING (103.9561637956853 1.3560753171243758, 103.95610402863709 1.356074994605032, 103.95598710572585 1.3560735725815294, 103.95592501382998 1.3560679958312523, 103.95588144110289 1.3560580690576296, 103.95582637090087 1.3560409965976714, 103.95579211694938 1.356026614459045, 103.95576593369043 1.356008205688143, 103.95576590313819 1.3560081839849887)",TAMPINES EAST
352,,YISHUN,"LINESTRING (103.83852079303605 1.4143739253154608, 103.83832811185971 1.4144608857598302, 103.83814648598309 1.4145452859107477)",YISHUN SOUTH
353,,YISHUN,"LINESTRING (103.83780407332861 1.4147135037188934, 103.83747293070319 1.4148789423455383, 103.83742346440668 1.4149030753855103)",YISHUN SOUTH
354,,YISHUN,"LINESTRING (103.83814648598309 1.4145452859107477, 103.83804015085839 1.4145952413855147, 103.83781617009906 1.4147069814226931)",YISHUN SOUTH
355,,YISHUN,"LINESTRING (103.83875710685776 1.414270443832323, 103.838726905369 1.414281889533175, 103.83853764153 1.4143665339110252)",YISHUN SOUTH
356,,YISHUN,"LINESTRING (103.83290973193891 1.4111272030079718, 103.83289438858567 1.411114763478698)",YISHUN SOUTH
357,,YISHUN,"LINESTRING (103.83384913451988 1.4117251584963957, 103.8339358741586 1.4117666009541046, 103.83408976875296 1.4118344689025506, 103.83423805976842 1.4118925208764415, 103.83431805732266 1.411922885768165, 103.83457095638722 1.4120029200485271, 103.83457299799716 1.4120441346262884, 103.8345627694115 1.412087028614484, 103.8344218416206 1.412520323928384)",YISHUN SOUTH
358,,YISHUN,"LINESTRING (103.83298872482642 1.4111861856391805, 103.83299628822368 1.4111938754471176, 103.83323385189105 1.411368238651401, 103.83330001837719 1.4114114365025743, 103.8333440940249 1.4114409468034075)",YISHUN SOUTH
359,,BEDOK,"LINESTRING (103.9250713724857 1.3273068325217912, 103.92491109913503 1.3276449573809412, 103.92488978019777 1.3276978507756405, 103.92483419621921 1.3277863122520082, 103.92474979992559 1.3278697953746013)",KEMBANGAN
360,,BEDOK,"LINESTRING (103.92576487816441 1.3312032092471087, 103.92565380698284 1.3311817601257963)",BEDOK NORTH
361,,BEDOK,"LINESTRING (103.9236666236931 1.331302260127301, 103.92364867996768 1.3313878732586244, 103.9236225559077 1.331427185091712)",BEDOK NORTH
362,,BEDOK,"LINESTRING (103.94215757153498 1.3209157246862255, 103.94202797019844 1.3210247603990128, 103.94175266424391 1.3210075443866758)",BEDOK SOUTH
363,,BEDOK,"LINESTRING (103.93870589616604 1.320532691206995, 103.93881391889978 1.3206358310183715, 103.9391253627286 1.3206741021019315, 103.93920479360911 1.320586439687514)",BEDOK SOUTH
364,,BEDOK,"LINESTRING (103.93555607783664 1.3302954068070407, 103.93614809950112 1.330406635901808)",BEDOK NORTH
365,,BEDOK,"LINESTRING (103.93616639537285 1.3303730100094904, 103.93624409667403 1.3303876085963655)",BEDOK NORTH
366,,BEDOK,"LINESTRING (103.93711417670058 1.3296324793855265, 103.93738253897715 1.3283036611001744, 103.93736730983414 1.3282497861225204)",BEDOK NORTH
367,,BEDOK,"LINESTRING (103.93958701688136 1.3276450999823235, 103.93768243129146 1.327275985323445, 103.93765874326608 1.327288732422589)",BEDOK NORTH
368,,BEDOK,"LINESTRING (103.930214706762 1.3329827835735526, 103.93032749723028 1.3323902828017036)",BEDOK NORTH
369,,BEDOK,"LINESTRING (103.92724982899175 1.3300089753350248, 103.92720418198769 1.3299974916678092, 103.9271721545167 1.3299421811256273)",BEDOK NORTH
370,,JURONG EAST,"LINESTRING (103.74733685457414 1.3379863978792201, 103.74735179691669 1.3379024228288947)",TOH GUAN
371,,JURONG EAST,"LINESTRING (103.74737907898248 1.3376424798758533, 103.74735157223867 1.3379035324749904)",TOH GUAN
372,,JURONG EAST,"LINESTRING (103.74737930991026 1.3376425223890729, 103.74741315997737 1.3373178796920726)",TOH GUAN
373,,JURONG EAST,"LINESTRING (103.74741197841395 1.3373167428655337, 103.74740690671625 1.3371944419921815, 103.74740827712147 1.3371397307612518)",TOH GUAN
374,,JURONG EAST,"LINESTRING (103.74659120458108 1.336551010952587, 103.74655320549837 1.3365254785159861, 103.74654400081194 1.3365217124190996, 103.7464349917169 1.33651448086734, 103.7463825241912 1.3365110749745557, 103.74636856159292 1.3365088036203723, 103.74636514570297 1.336522294793193, 103.74633680809228 1.3365170810321296)",TOH GUAN
375,,JURONG EAST,"LINESTRING (103.74449899685595 1.3354332546170673, 103.74443814859904 1.335502703898878)",TOH GUAN
376,,JURONG EAST,"LINESTRING (103.74433513464736 1.3355977152843275, 103.74427338825072 1.3356553408809655)",TOH GUAN
377,,BEDOK,"LINESTRING (103.93411622096656 1.3278627357735389, 103.93437254667964 1.327880671427312, 103.93480802230145 1.3279400041193625, 103.93483512245294 1.3279785569061218)",BEDOK NORTH
378,,BEDOK,"LINESTRING (103.9346387592676 1.3292464441978922, 103.93486827392839 1.3280284582957964, 103.93483512245294 1.3279785569061218)",BEDOK NORTH
379,,BEDOK,"LINESTRING (103.93490935618621 1.328896055592467, 103.93515163000812 1.3276525724349004)",BEDOK NORTH
380,,JURONG WEST,"LINESTRING (103.69981714063127 1.3479592893757015, 103.69981554461188 1.347929546630759, 103.6997534749648 1.3474316512380686)",YUNNAN
381,,SEMBAWANG,"LINESTRING (103.82005198666504 1.4446219282872985, 103.82005493855971 1.4446224320352312, 103.8200758660102 1.444626002586001, 103.82012060996452 1.44462320022519, 103.82014179626447 1.4446176113815135, 103.82015060344627 1.4446152881226528)",SEMBAWANG CENTRAL
382,,SEMBAWANG,"LINESTRING (103.81843980813365 1.4439847126267547, 103.81851768601024 1.4439968668822996, 103.81860770389665 1.44401829455952, 103.81869081601448 1.4440458275476267, 103.81870915547711 1.4440519040859752, 103.81888272923864 1.4441260241371108, 103.81941140856115 1.4443519320786358, 103.81969282473221 1.4444739206995878, 103.82003374782676 1.4446176613921136, 103.82005864348613 1.4446219283264403)",SEMBAWANG CENTRAL
383,,TAMPINES,"LINESTRING (103.93595880690327 1.3534651999533893, 103.93445347539937 1.3498236135093078)",TAMPINES WEST
384,,TAMPINES,"LINESTRING (103.95173037507524 1.3533308717030677, 103.95169765602216 1.353485269688363)",TAMPINES EAST
385,,JURONG WEST,"LINESTRING (103.69581871604173 1.3425008383447665, 103.69572086501054 1.342627561937956, 103.69568890711696 1.342704128829431, 103.69564934267252 1.3427852903517756, 103.69530240176155 1.3432278427436597, 103.69524305772964 1.3432860314372457, 103.69521871030906 1.3433197211487362, 103.69521566538417 1.3433625994836362, 103.6952323993455 1.343408542017062, 103.69527183090406 1.3434541032960634, 103.69532318156072 1.343488562401668, 103.69544300083865 1.343549825254903, 103.69550195637251 1.3436417117667072, 103.6960477924604 1.3440801022674311, 103.69662976389617 1.3445414663966069, 103.69670393585251 1.3446142120191198, 103.69678190911878 1.3447443839296032, 103.69687509279467 1.3449626126030303, 103.69689981221826 1.3450583253261406, 103.69688801833848 1.3450960356492558, 103.69686797525144 1.3451092834232228, 103.69687793352234 1.3451821755521804)",YUNNAN
386,,SEMBAWANG,"LINESTRING (103.81901139609546 1.4474090206204309, 103.81922661403901 1.4468860863539479, 103.81940633846857 1.4464493946767356, 103.81946566487748 1.4463080086357265)",SEMBAWANG CENTRAL
387,,TAMPINES,"LINESTRING (103.94602051205555 1.3459651665430776, 103.945747398485 1.3462221765010427, 103.94533045642405 1.3466076912723306, 103.94507188696127 1.3468484337198907)",TAMPINES EAST
388,,TAMPINES,"LINESTRING (103.94607327803963 1.3457272289740285, 103.94587207622699 1.345866309412912, 103.94576783990416 1.345949268729369, 103.94561391050217 1.3460907869264556, 103.94554240095154 1.3461615457692244, 103.94543937720778 1.3462542639953623, 103.94533756589196 1.3463530829925854)",TAMPINES EAST
389,,SEMBAWANG,"LINESTRING (103.81835075495977 1.4488175174862892, 103.81836513352266 1.4488091938189607, 103.81842037700096 1.4487772131740857, 103.8184888783002 1.4486272032119825, 103.81851732460566 1.4485953236765405, 103.81874868539258 1.4480473504532532)",SEMBAWANG CENTRAL
390,,JURONG WEST,"LINESTRING (103.71996617578932 1.3490799959211317, 103.72000137875028 1.3490985578063306, 103.72009978939323 1.3491320292618088, 103.7202401449446 1.3492026918775737)",HONG KAH
391,,JURONG WEST,"LINESTRING (103.72413319254463 1.346610341240375, 103.72421015442414 1.34660577677196, 103.72457123257414 1.3466093797135898)",HONG KAH
392,,JURONG EAST,"LINESTRING (103.74573910565694 1.3207835072540834, 103.74614519680175 1.3205818340709274, 103.74632768514178 1.3205370871681401)",TEBAN GARDENS
393,,JURONG EAST,"LINESTRING (103.74681295801282 1.3204227166850102, 103.74700462573638 1.3203836376988642, 103.7471282841831 1.3203365906905224, 103.74715574324195 1.3203298649918405)",TEBAN GARDENS
394,,JURONG EAST,"LINESTRING (103.74494370625736 1.3293756876745695, 103.74496147004238 1.3293683105168927, 103.74490891640143 1.329289372159343, 103.74487827204014 1.3292153516150391)",JURONG REGIONAL CENTRE
395,,JURONG WEST,"LINESTRING (103.72425777909923 1.3504592054993343, 103.72433242938303 1.350428148529189)",HONG KAH
396,,JURONG EAST,"LINESTRING (103.73735987772632 1.3427185248779303, 103.73739550639391 1.3426980180405246)",YUHUA
397,,JURONG EAST,"LINESTRING (103.7384172701883 1.3423107392929148, 103.7383507714065 1.3421949791038028, 103.73831119631345 1.3421914062263793)",YUHUA
398,,JURONG EAST,"LINESTRING (103.73853994491697 1.3425242886618813, 103.73842797040899 1.3423293659762214)",YUHUA
399,,JURONG EAST,"LINESTRING (103.73918512974012 1.3434728054129672, 103.73910429860851 1.343434266454725, 103.73903233747858 1.3433873986528806)",YUHUA
400,,JURONG EAST,"LINESTRING (103.73995582926223 1.3435278105138104, 103.73970630923814 1.3435264298899328)",YUHUA
401,,JURONG EAST,"LINESTRING (103.74178245419141 1.3428043224933475, 103.74175464706069 1.3427886813858363, 103.74173360429327 1.3427727963549896)",YUHUA
402,,JURONG EAST,"LINESTRING (103.74172794596257 1.3427514314623819, 103.74173360429327 1.3427727963549896)",YUHUA
403,,JURONG EAST,"LINESTRING (103.74146807752403 1.341949416879282, 103.74146967366589 1.3419895127920702)",YUHUA
404,,SENGKANG,"LINESTRING (103.88522299508716 1.3899701863867078, 103.88526626452135 1.3899395573421758, 103.885313338376 1.3899429060634139, 103.88531968257597 1.389912906368268)",BUANGKOK
405,,SENGKANG,"LINESTRING (103.88398164342856 1.390728715159619, 103.8842165373066 1.3906138558771237)",BUANGKOK
406,,YISHUN,"LINESTRING (103.84521308681028 1.430168474336587, 103.84518682015113 1.430192267380458, 103.84517251924458 1.4302325089307504, 103.8451020464909 1.430296825840195, 103.84497140781211 1.4304202748823025, 103.84488479280007 1.4305016960998773)",YISHUN EAST
407,,YISHUN,"LINESTRING (103.84616749079709 1.4264324011780853, 103.8461679651604 1.4264155845300783)",YISHUN EAST
408,,YISHUN,"LINESTRING (103.84414541445213 1.425226831330126, 103.8442604579093 1.4251198978986572, 103.84442539721559 1.4249669103957723, 103.8444575010474 1.4249378313249632, 103.84450419886252 1.424901113925499, 103.84456279847754 1.4248561658513879, 103.84473389050996 1.4247257539307225, 103.84479518044877 1.4246708252778821, 103.84484275342993 1.4246238279632957, 103.84489511321328 1.4245786502036206, 103.8449230719098 1.4245649607067645, 103.84494509635977 1.424561183067406, 103.84496650078933 1.4245589121011537)",YISHUN EAST
409,,YISHUN,"LINESTRING (103.84496650078933 1.4245589121011537, 103.84498109750223 1.4245586027345227)",YISHUN EAST
410,,YISHUN,"LINESTRING (103.84205612434248 1.4270302774001806, 103.8421003862246 1.4270120045595838, 103.84221594225748 1.4269559272252272, 103.84226789782073 1.4269217167476327, 103.84237558301204 1.42684891774866, 103.84239667919448 1.4268328860074202, 103.84241026135402 1.4268178454785927)",YISHUN EAST
411,,YISHUN,"LINESTRING (103.84374259918147 1.4256027555421027, 103.84392035510997 1.4254373474844075)",YISHUN EAST
412,,YISHUN,"LINESTRING (103.84393418078017 1.4254245895596818, 103.84403238382419 1.4253326840316114, 103.8440622627582 1.4253045961595328, 103.84413055721092 1.4252416448800083)",YISHUN EAST
413,,TAMPINES,"LINESTRING (103.95721821603995 1.3415504391139519, 103.956921673109 1.3413001556360864)",SIMEI
414,,TAMPINES,"LINESTRING (103.95792338656726 1.3421429828941658, 103.95782869071186 1.3420635955847822, 103.95770357471905 1.3419592503311197)",SIMEI
415,,TAMPINES,"LINESTRING (103.95567885029894 1.3424995875392083, 103.95582904073099 1.3423194237443736, 103.9558416333992 1.342306879602893, 103.95585547356018 1.3423002463112024, 103.95587129091919 1.3422829984180988)",SIMEI
416,,TAMPINES,"LINESTRING (103.9590940614328 1.340634445364364, 103.95902498179484 1.3408215859149626, 103.95888407436992 1.3410306537239916, 103.95870702367071 1.341281559191336, 103.95857488090743 1.3414765076301598)",SIMEI
417,,PASIR RIS,"LINESTRING (103.94628176895169 1.3764146573663751, 103.94631621390963 1.3763962718442824, 103.94635795778075 1.3763740867469398, 103.94649441405714 1.376301564835797)",PASIR RIS TOWN
418,,PASIR RIS,"LINESTRING (103.94796882621792 1.3755304653319356, 103.948134527264 1.3754577646651818, 103.94825668537959 1.3754041680408693)",PASIR RIS TOWN
419,,PASIR RIS,"LINESTRING (103.95103209064587 1.374711034455135, 103.95099929642682 1.374711071351645, 103.95082606286888 1.3747112653297098, 103.95068769585558 1.374715992948185, 103.95052387617123 1.3747254878053805, 103.95037810897236 1.3747393000912158, 103.95016949463924 1.3747669675818344, 103.95002542806122 1.3747917406345092)",PASIR RIS TOWN
420,,PASIR RIS,"LINESTRING (103.9452444502845 1.376970887704592, 103.94552812568952 1.376817970103409)",PASIR RIS TOWN
421,,PASIR RIS,"LINESTRING (103.94650872074644 1.3762939611774627, 103.9467471254188 1.3761672585495832, 103.94676691504871 1.3761567407716375)",PASIR RIS TOWN
422,,PASIR RIS,"LINESTRING (103.9470055936999 1.376028844348352, 103.94703813811105 1.3760092416358993, 103.94759785901223 1.3757112788510717)",PASIR RIS TOWN
423,,PASIR RIS,"LINESTRING (103.95688842560116 1.370052276862186, 103.956900639201 1.3700748680997572, 103.95690914692115 1.3701289412810709)",PASIR RIS DRIVE
424,,PASIR RIS,"LINESTRING (103.95866119421297 1.368500085388994, 103.95882702875319 1.3684189580953463)",PASIR RIS DRIVE
425,,PASIR RIS,"LINESTRING (103.9432720222465 1.3738650408638504, 103.9434530251768 1.3737939694735812, 103.94346793907683 1.373801195543248, 103.94357507274938 1.373758637599543, 103.94358608303392 1.3737413122145308, 103.9436570316252 1.373706231408244, 103.94410615038571 1.3735291507810863)",PASIR RIS TOWN
426,,PASIR RIS,"LINESTRING (103.9408697588314 1.3752984282142002, 103.94089634113577 1.3753159092431335, 103.94094035353216 1.375344852277508, 103.9409759171562 1.3754849626631975, 103.94102843807701 1.3759336923577392)",ELIAS
