,PLANNING_A,PLANNING_1,geometry,within
36,,JURONG EAST,"LINESTRING (103.739413872225 1.341570486132837, 103.73941279753305 1.3415708984809698, 103.73931228942504 1.3416132965730954)",YUHUA
37,,JURONG EAST,"LINESTRING (103.73883711291762 1.3427311905145323, 103.73880408507333 1.3426715455687273)",YUHUA
38,,JURONG EAST,"LINESTRING (103.74355869299681 1.34095305113409, 103.74356725634846 1.340925966671011, 103.74396411973419 1.3406863900965549)",TOH GUAN
39,,JURONG EAST,"LINESTRING (103.74562431987671 1.3395744832024912, 103.74556485376476 1.339586614904251, 103.74515166870027 1.3398929322901798, 103.74465735676577 1.3402611060063598)",TOH GUAN
40,,JURONG EAST,"LINESTRING (103.74715029543114 1.338904772419094, 103.7470654537491 1.3389259134347884)",TOH GUAN
41,,JURONG EAST,"LINESTRING (103.7468018993065 1.3389574311035577, 103.74656247046333 1.3389826489024532)",TOH GUAN
42,,JURONG EAST,"LINESTRING (103.7468018993065 1.3389574311035577, 103.7468588961136 1.3389466721062475)",TOH GUAN
43,,JURONG EAST,"LINESTRING (103.74616215153894 1.3391514168691296, 103.74610534509183 1.3391912014017675)",TOH GUAN
44,,JURONG EAST,"LINESTRING (103.74355804198923 1.3289498576194914, 103.74352290791315 1.328991478758784, 103.74348324165202 1.3290296703852935)",JURONG REGIONAL CENTRE
45,,JURONG EAST,"LINESTRING (103.74206322211808 1.3300842052353317, 103.74201653255507 1.3300778440136918, 103.741873506894 1.330176190919619, 103.74175572137277 1.3302569534123745, 103.74174195066765 1.3302665717074018)",JURONG REGIONAL CENTRE
46,,JURONG EAST,"LINESTRING (103.74451166627219 1.3280601234281955, 103.74451146229272 1.328060339563701, 103.74446831479352 1.3281060879439899)",JURONG REGIONAL CENTRE
47,,JURONG EAST,"LINESTRING (103.74475018621732 1.3277405344982594, 103.74454258415523 1.328022654052865, 103.74451166627219 1.3280601234281955)",place
48,,JURONG EAST,"LINESTRING (103.7454722885699 1.3217652992959177, 103.74549330098584 1.3219248686662535, 103.74549965572847 1.3219963298934252, 103.74550247610885 1.3220524141008776, 103.74550087219039 1.3221547870959842, 103.74549693959065 1.3222723225677424, 103.74549228366733 1.3223895315383491, 103.74548780153836 1.3224705279888955, 103.74548450651875 1.3225224808455809, 103.7454602657109 1.322615359929385, 103.745439068151 1.3226613044607853, 103.74540854698726 1.3227136985804941)",TEBAN GARDENS
49,,JURONG EAST,"LINESTRING (103.7433524315119 1.320872257986767, 103.7433470427039 1.32080275474004)",TEBAN GARDENS
50,,JURONG EAST,"LINESTRING (103.73843783354796 1.32064904535272, 103.73849975499051 1.32092065519275)",TEBAN GARDENS
51,,JURONG EAST,"LINESTRING (103.73865482132379 1.3410018636179033, 103.73862459092237 1.3408667324825845)",YUHUA
52,,JURONG EAST,"LINESTRING (103.74743231766493 1.3367363619683879, 103.74741231866393 1.3367051625318698, 103.74737383491895 1.336663233075481, 103.74733883739844 1.3366264341955938, 103.7473125561429 1.3366079887755884, 103.74728554234079 1.3365959480318772, 103.74725872885008 1.336585834493581, 103.7472280235179 1.336581202164933, 103.74719826790025 1.3365783053429967, 103.74698172403066 1.3365695696787607, 103.74694337475584 1.3365626011051794, 103.74687567847769 1.3365593231034059, 103.74682201846197 1.336558849124179, 103.74678339570758 1.3365609929050597, 103.74675293641072 1.3365612405246694, 103.7467191264968 1.3365585678352505, 103.74661068432026 1.3365532852146578, 103.74659120458108 1.336551010952587)",TOH GUAN
53,,JURONG EAST,"LINESTRING (103.74427338825072 1.3356553408809655, 103.74421186831894 1.335712093773347)",TOH GUAN
54,,BEDOK,"LINESTRING (103.93112123730404 1.330917111323292, 103.93177598802939 1.3310741829545236)",BEDOK NORTH
55,,BEDOK,"LINESTRING (103.93864705670393 1.3332044084055084, 103.93897452783756 1.33326336599195)",BEDOK NORTH
56,,CLEMENTI,"LINESTRING (103.76589632024248 1.3177603806785851, 103.76589913113037 1.3176184941758142, 103.76589351445261 1.3174787941955801, 103.76588237135918 1.3173847789188673, 103.76585509659134 1.317257257418965, 103.7658243765218 1.3171728477633693, 103.76577617136562 1.3170623141707014, 103.76569180314736 1.3169186744396233, 103.76563055951273 1.3168275237229818, 103.76553315480128 1.316729764731882, 103.76547291649008 1.3166779303617235, 103.76543885853957 1.316652035677285, 103.76532688505466 1.3165761347583143, 103.76514329420435 1.3164753401488491, 103.76508000904268 1.3164521767390485, 103.76504745399599 1.3164401749313026)",CLEMENTI NORTH
57,,DOWNTOWN CORE,"LINESTRING (103.86222209249142 1.2757262689160365, 103.86236463077711 1.2756338583959381)",MARINA SOUTH
58,,DOWNTOWN CORE,"LINESTRING (103.85587247197131 1.2773106136730759, 103.85588501043453 1.2772394291928142, 103.85560840738088 1.2768069643262299)",CENTRAL SUBZONE
59,,YISHUN,"LINESTRING (103.83336117524819 1.411451442851477, 103.83338136827535 1.4114654225093357, 103.83348074381556 1.4115275405529317, 103.83355478911413 1.411571009705419)",YISHUN SOUTH
60,,YISHUN,"LINESTRING (103.83435260394049 1.4129973623817225, 103.83435302985843 1.4129694817451584, 103.83434876783737 1.412913289997046, 103.83434876781931 1.4128716820201699, 103.83435089924203 1.412814632027791)",YISHUN SOUTH
61,,YISHUN,"LINESTRING (103.83435239088743 1.4127953772141328, 103.834361482756 1.4127252211761543, 103.83437057553343 1.4126794675907648, 103.83441527925093 1.4125368665569937)",YISHUN SOUTH
62,,YISHUN,"LINESTRING (103.84106532148826 1.4197696228055152, 103.84098366873721 1.419575703042009)",YISHUN SOUTH
63,,YISHUN,"LINESTRING (103.84078137418464 1.419122149837716, 103.84082681791567 1.4192109292852608, 103.84086764358464 1.4192329404647335)",YISHUN SOUTH
64,,YISHUN,"LINESTRING (103.8406229294778 1.418804938376816, 103.84061102218806 1.418776812697179, 103.84051934723726 1.4184819478477697, 103.84050185076254 1.4184649910791538, 103.84044417532925 1.4183306389563777, 103.840413393936 1.4182530283495889, 103.84040432082737 1.4182337880353808, 103.84037872353484 1.4182024835572746, 103.84035798676325 1.4181891135046927)",YISHUN SOUTH
65,,BUKIT PANJANG,"LINESTRING (103.7723314693472 1.3797274926238938, 103.77231293205807 1.3798221735983125, 103.77229381577762 1.3800346949555602, 103.77229436853085 1.3800648256550003)",BANGKIT
66,,BUKIT PANJANG,"LINESTRING (103.77183203985099 1.3777519342711482, 103.77182731522507 1.3777492093005967, 103.77170320959816 1.3777547859974626)",BANGKIT
67,,TAMPINES,"LINESTRING (103.95564610924173 1.3441742875052491, 103.95584119526652 1.3443348788617382, 103.95589800720292 1.344381963429732)",SIMEI
68,,TAMPINES,"LINESTRING (103.95535271103272 1.342890849212763, 103.95566786874754 1.3425122066609487)",SIMEI
69,,TAMPINES,"LINESTRING (103.95771700159634 1.3463048155795583, 103.95714517341737 1.3463552033797224, 103.95696392749446 1.3463697764860953, 103.95668683630636 1.3463942436631606)",SIMEI
