,Name,Description,geometry,within
0,kml_1,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PARK</th> <td>Ulu Pandan PC</td> </tr><tr bgcolor=""""> <th>PCN_LOOP</th> <td>Southern Ridges Loop</td> </tr><tr bgcolor=""#E3E3F3""> <th>MORE_INFO</th> <td>http://www.nparks.gov.sg/pcn</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>6F9038CFC0B4F2BC</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20211014175946</td> </tr></table></center>","LINESTRING Z (103.757204116925 1.34532379951897 0, 103.757161336872 1.34539741880412 0, 103.757019727839 1.34564111141869 0)",BUKIT BATOK CENTRAL
1,kml_2,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PARK</th> <td>Bukit Batok West Park Connector</td> </tr><tr bgcolor=""""> <th>PCN_LOOP</th> <td>Western Adventure Loop</td> </tr><tr bgcolor=""#E3E3F3""> <th>MORE_INFO</th> <td>http://www.nparks.gov.sg/pcn</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>1BE6D30A6A11903F</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20211014175946</td> </tr></table></center>","LINESTRING Z (103.751437859667 1.3578721498045 0, 103.751491030054 1.35788404399586 0, 103.751526477346 1.35788999048854 0, 103.751523521864 1.35791972043195 0, 103.751455580763 1.35793755668624 0, 103.751480980709 1.35798477617623 0)",GUILIN
2,kml_3,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PARK</th> <td>Bukit Batok Park Connector</td> </tr><tr bgcolor=""""> <th>PCN_LOOP</th> <td>Western Adventure Loop</td> </tr><tr bgcolor=""#E3E3F3""> <th>MORE_INFO</th> <td>http://www.nparks.gov.sg/pcn</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>4D642175A952D289</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20211014175946</td> </tr></table></center>","MULTILINESTRING Z ((103.746983645143 1.34564239441757 0, 103.746989378609 1.34572610702323 0, 103.747140991052 1.34595255055414 0, 103.747253333113 1.34599154346347 0), (103.748839849834 1.34822829725315 0, 103.748624798464 1.34839782984615 0), (103.747949173073 1.34916369973163 0, 103.747924740335 1.34921369569665 0), (103.747815983538 1.35053334438724 0, 103.747830264977 1.35059361438419 0), (103.748272757474 1.3522205210239 0, 103.748281718287 1.35246876909779 0), (103.747169719825 1.35633268545463 0, 103.747162931884 1.35656653820206 0, 103.747429464705 1.35657386403812 0))",
3,kml_4,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PARK</th> <td>Bukit Timah Park Connector</td> </tr><tr bgcolor=""""> <th>PCN_LOOP</th> <td>Western Adventure Loop</td> </tr><tr bgcolor=""#E3E3F3""> <th>MORE_INFO</th> <td>http://www.nparks.gov.sg/pcn</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>57B9B42BF0000FB0</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20211014175946</td> </tr></table></center>","MULTILINESTRING Z ((103.77525361153 1.34513560982145 0, 103.775195969446 1.34499676324331 0, 103.775155359707 1.34496666593979 0, 103.775109292176 1.34493381923803 0, 103.775081472128 1.34492157800324 0, 103.775046060905 1.34491500333057 0, 103.775019531759 1.34491669385357 0, 103.774984108524 1.34492405723773 0, 103.774820957233 1.3450215021457 0, 103.77466218748 1.34511189763071 0, 103.774564764192 1.34516749828324 0, 103.774349566433 1.34526478001474 0, 103.774298647125 1.34528816653271 0, 103.773944534678 1.3454909497518 0, 103.773777266133 1.34558718715881 0, 103.773611411927 1.34568272913257 0, 103.773578741179 1.34571843804331 0, 103.773397243941 1.34581263753975 0, 103.77331083982 1.34586134806244 0, 103.773187511637 1.34592594643634 0, 103.773022112228 1.34601459350788 0, 103.772818787634 1.3461236565415 0, 103.772788838183 1.34614025720258 0, 103.772731438988 1.34617705433717 0, 103.772664031344 1.34622489259929 0, 103.772608522686 1.34626298211419 0, 103.772553235979 1.34630073882737 0, 103.772502973228 1.34633438171371 0, 103.772458231265 1.34636682645544 0, 103.772418444888 1.34639838685293 0, 103.772385272059 1.34642437653418 0, 103.772301780493 1.346494799966 0, 103.772268659721 1.34652306773961 0, 103.772212347452 1.34657260918513 0, 103.772161604573 1.3466177302389 0, 103.772093543131 1.34668645746571 0, 103.772024257801 1.34675693098618 0, 103.771985823237 1.34680887486897 0, 103.771964410661 1.34683919131882 0, 103.771908020412 1.34691626792333 0, 103.77186119743 1.34698189371304 0, 103.771816914706 1.34704642257277 0, 103.771783552578 1.34709574935143 0, 103.771736067255 1.34716511557068 0, 103.771634852224 1.34731472644052 0, 103.77162605568 1.3473356016489 0, 103.771613208247 1.34732763839703 0, 103.771608621704 1.34733896453394 0, 103.771565198724 1.34744575343214 0), (103.77150279804 1.34755569174418 0, 103.77149801748 1.34756410220657 0, 103.771492614227 1.34757212468092 0, 103.771267719271 1.34793734629404 0, 103.771264743884 1.3479472119237 0, 103.771252722406 1.34796767556208 0, 103.771238627856 1.34799172947194 0, 103.771230024816 1.34799999875484 0, 103.771144232914 1.34813853605975 0, 103.771103662248 1.34819756827551 0, 103.771095679565 1.34819201889321 0, 103.771086503161 1.34820347061738 0, 103.7709937556 1.3483371223632 0, 103.770967848309 1.34837064375255 0, 103.770978062981 1.34837771614162 0, 103.770974127136 1.34838336288843 0, 103.770946886157 1.34842558241519 0, 103.770936556447 1.34841938363855 0, 103.770924167268 1.3484118400196 0, 103.770920489342 1.34841624960314 0, 103.770905903481 1.34843209187374 0, 103.77089331069 1.34844561631099 0, 103.770885629057 1.34843882795721 0, 103.770880623936 1.34844395647572 0, 103.770832557638 1.34849579699093 0, 103.770788804561 1.3485427169726 0, 103.77078524271 1.34854083309049 0, 103.770776000735 1.34855121947095 0, 103.770766955537 1.34856192147946 0, 103.770763181253 1.34857458518959 0, 103.770746639006 1.34859884794082 0, 103.770737742898 1.34861234172442 0, 103.770722495479 1.34863658642168 0, 103.770709941792 1.34866692207948 0, 103.770694306444 1.34868139149705 0, 103.770682179926 1.34869796907767 0, 103.770653327803 1.34874071670741 0, 103.770594307992 1.34882886623957 0, 103.77056164394 1.34888040056877 0, 103.770560986166 1.34888143966582 0), (103.767817410183 1.34780825688485 0, 103.767804822428 1.34780095199718 0, 103.76778846347 1.34779144126388 0, 103.767717183496 1.34774948408443 0, 103.767600234819 1.34768188694789 0, 103.767538042717 1.3476468556286 0, 103.767516089372 1.34763527374825 0, 103.767444821818 1.34759961002958 0, 103.767370910709 1.34756358177822 0, 103.767325006468 1.34754230808043 0, 103.767292992008 1.3475278807951 0, 103.767252195986 1.34751051951334 0, 103.767211627288 1.34749361403652 0, 103.767158485095 1.34747390830488 0, 103.767124509901 1.34746223565609 0, 103.7671150796 1.34745848047948 0, 103.767097729396 1.34745402782162 0, 103.767008725698 1.34743130143447 0, 103.766957248349 1.34741873569673 0, 103.766933834689 1.34741296792645 0, 103.766883064375 1.34740535450297 0, 103.766847377266 1.34739953032439 0, 103.766828001624 1.34739809366243 0, 103.76679532459 1.34739614657358 0, 103.766762422898 1.34739487775099 0, 103.766741771265 1.34739469359717 0, 103.766708875807 1.34739548491485 0, 103.766663447208 1.34739647122958 0, 103.766572882048 1.34739827203538 0, 103.766522521247 1.34739920756705 0, 103.766479004797 1.34739981409826 0, 103.766459238233 1.3474001418364 0, 103.766440237232 1.34740090821202 0, 103.766417455067 1.34740229397219 0, 103.766392401019 1.34738245605884 0, 103.766293584365 1.34738442393335 0, 103.766220168248 1.3473863518117 0, 103.766169827204 1.34738772776178 0, 103.766118770922 1.34738846882755 0, 103.76607868878 1.3473888810087 0, 103.766048023564 1.34738923647599 0, 103.766033671735 1.34738942961092 0, 103.766024227756 1.34739298621132 0, 103.766004931994 1.34739493005701 0, 103.765970868374 1.34739690424005 0, 103.76590604067 1.34740016899755 0, 103.76585354484 1.34740284445184 0, 103.76582282481 1.3474032207151 0, 103.765799363406 1.34740195485576 0, 103.765784765371 1.34740215340854 0), (103.769793712638 1.34886078204422 0, 103.769774790074 1.3488509520159 0, 103.769725727097 1.34883909722853 0, 103.769685746037 1.34882146469836 0, 103.769635201652 1.34879729062539 0, 103.76957618758 1.34876707879487 0, 103.76949383098 1.34872483016805 0, 103.769444290321 1.34869955641127 0, 103.769400445572 1.34867723464778 0, 103.76933079537 1.3486415782598 0, 103.769322623978 1.3486365497804 0, 103.769281076937 1.34861105828027 0, 103.769246725464 1.34859000377929 0, 103.769201710041 1.34856196549728 0, 103.769146633582 1.34852781616082 0, 103.769101323427 1.34850004465655 0, 103.769066312434 1.34847818615615 0, 103.769030402886 1.34845607802696 0, 103.768990907221 1.34843236726909 0, 103.768972023311 1.34842219809934 0, 103.768933690314 1.34840122216787 0, 103.768875160624 1.34836956063862 0, 103.768818556527 1.34833889124655 0, 103.768759076163 1.34830717633179 0, 103.768700731572 1.34827583042646 0, 103.768633055551 1.34823949851224 0, 103.768568272464 1.34821967493171 0, 103.768506109022 1.34818714782044 0, 103.768435252109 1.34815037358177 0, 103.7683704119 1.34811615071312 0, 103.768327728113 1.34809381810987 0, 103.768306628491 1.34807855278526 0, 103.768252484919 1.34803854136795 0, 103.768227923072 1.34802580455093 0, 103.768172674862 1.3479973780033 0, 103.768096150809 1.34795767075055 0, 103.768060820763 1.34793886445573 0, 103.768039381357 1.34792850529372 0, 103.76795865829 1.34789029916752 0, 103.767877532037 1.34784213598175 0), (103.769961841451 1.34904353307531 0, 103.76996024933 1.34903846045654 0, 103.769953509019 1.34901130765853 0, 103.769948801938 1.3489925465063 0, 103.769945706588 1.34898494615106 0, 103.769932435581 1.3489557493194 0, 103.769915198381 1.34892427971724 0, 103.769902784307 1.34890651858927 0, 103.769896298703 1.34889813677463 0, 103.76989026499 1.34889305861312 0, 103.769877192969 1.34888303882265 0, 103.769868171446 1.34888150749786 0, 103.769849996244 1.34888099695957 0, 103.76984961975 1.3488808712431 0), (103.770485452774 1.3490668268767 0, 103.770480904896 1.34907678199626 0, 103.770470454874 1.34910181180415 0, 103.770459312893 1.34912942897908 0, 103.770449278756 1.34912526412242 0))",
4,kml_5,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PARK</th> <td>Bukit Timah Park Connector</td> </tr><tr bgcolor=""""> <th>PCN_LOOP</th> <td>Western Adventure Loop</td> </tr><tr bgcolor=""#E3E3F3""> <th>MORE_INFO</th> <td>http://www.nparks.gov.sg/pcn</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>CE0660727911FD2F</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20211014175946</td> </tr></table></center>","LINESTRING Z (103.776289747931 1.34762430309734 0, 103.776174143297 1.34747771020042 0, 103.776233181421 1.34744223068071 0, 103.776202285351 1.34740048812683 0, 103.776181415867 1.34737866261777 0, 103.776166907154 1.34736317232858 0, 103.77616696107 1.34736309455454 0, 103.776154402703 1.34732754370901 0, 103.776096285865 1.34715943372869 0, 103.776095253415 1.34715953770615 0, 103.776090686319 1.34714702300911 0, 103.776091421361 1.3471462009596 0, 103.776009454674 1.34691138452454 0, 103.775991015733 1.34685418668222 0, 103.775985653378 1.34684311171366 0, 103.775982806191 1.3468279300877 0, 103.775965801857 1.34678772618319 0, 103.775956753793 1.34676852179925 0, 103.775922287663 1.34669214292056 0, 103.775868723571 1.34657494964096 0, 103.775832960804 1.34649938556234 0, 103.775816917718 1.34646839081835 0, 103.775803001676 1.34643107281165 0, 103.775781176857 1.34637845096935 0, 103.775774937592 1.34636377480207 0, 103.775761243209 1.34633868561047 0, 103.775747675726 1.34630495522378 0, 103.775732797308 1.34626839505088 0, 103.775682121324 1.34610802930731 0, 103.775683058993 1.34608803655456 0, 103.775684285677 1.34608174492337 0, 103.77568277544 1.34607133837082 0, 103.775666047711 1.34599975032689 0, 103.775650235328 1.34594042548055 0, 103.775644325818 1.34592654787423 0, 103.775636861662 1.34591841475105 0, 103.775606890874 1.34588790712639 0, 103.775538404826 1.34571486358119 0, 103.775540031761 1.34569195065352 0, 103.775547633599 1.3456532440553 0, 103.7755337813 1.34561863642763 0)",NATURE RESERVE
5,kml_6,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PARK</th> <td>West Coast Park 2</td> </tr><tr bgcolor=""""> <th>PCN_LOOP</th> <td>Southern Ridges Loop</td> </tr><tr bgcolor=""#E3E3F3""> <th>MORE_INFO</th> <td>http://www.nparks.gov.sg/pcn</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>CE9E8A46024B0DE5</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20211014175946</td> </tr></table></center>","LINESTRING Z (103.763563465232 1.29685661761904 0, 103.763711166484 1.29677210435967 0, 103.76383962081 1.29656024975542 0, 103.763877971192 1.29644075536931 0, 103.763896344381 1.29631688059549 0, 103.763920754761 1.29619735236201 0, 103.763964422926 1.29610293071248 0, 103.764008741962 1.29599640326117 0, 103.764055265476 1.29590986774373 0, 103.764201669033 1.29563116391431 0, 103.76422656646 1.29550945436306 0, 103.764189182622 1.29540876233407 0, 103.764152725826 1.29535065955209 0, 103.76410016696 1.29526632795727 0, 103.764053841038 1.29519120567333 0, 103.763989536 1.29508959768457 0, 103.763909895842 1.2948778413331 0, 103.763902354689 1.29483327315452 0, 103.763882372451 1.29465165005134 0, 103.763879938236 1.29452192708284 0, 103.763902366307 1.29437312995016 0, 103.76393443117 1.29416087203927 0, 103.763965042649 1.29396461138531 0, 103.764033624765 1.29376657198565 0, 103.764128101625 1.29358072412325 0, 103.764251391277 1.29342223044494 0, 103.76438938102 1.2932652338842 0, 103.764592422011 1.29305909955524 0, 103.764761923197 1.29291627883434 0, 103.764873585718 1.29282219181491 0, 103.765026755585 1.29269023837584 0, 103.765179820143 1.29256440475627 0, 103.765315478963 1.29244127832393 0, 103.765442205201 1.2923244487313 0, 103.765584977991 1.29219219201301 0, 103.765697617414 1.29208874571413 0, 103.765786192409 1.29200710570059 0, 103.765842367008 1.29195504204983 0, 103.765898186715 1.29190166072953 0, 103.766016248309 1.29178308364165 0, 103.766093519316 1.29171348040264 0, 103.766166317173 1.29172018367895 0, 103.766241940014 1.29172806179739 0, 103.766376501625 1.29174207939714 0, 103.766472443005 1.29172252596683 0, 103.766519166724 1.2917049129011 0)",PORT
6,kml_7,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PARK</th> <td>Jurong Park Connector</td> </tr><tr bgcolor=""""> <th>PCN_LOOP</th> <td>Western Adventure Loop</td> </tr><tr bgcolor=""#E3E3F3""> <th>MORE_INFO</th> <td>http://www.nparks.gov.sg/pcn</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>96D760A91971D914</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20211014175946</td> </tr></table></center>","LINESTRING Z (103.745571321899 1.34378540798033 0, 103.745295947773 1.3434012551806 0)",
7,kml_8,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PARK</th> <td>Alexandra Garden Trail</td> </tr><tr bgcolor=""""> <th>PCN_LOOP</th> <td>Southern Ridges Loop</td> </tr><tr bgcolor=""#E3E3F3""> <th>MORE_INFO</th> <td>http://www.nparks.gov.sg/pcn</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>1D17544B221A9647</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20211014175946</td> </tr></table></center>","MULTILINESTRING Z ((103.802166487581 1.27412022387389 0, 103.802160923264 1.27416871675388 0, 103.802155627638 1.27421487275833 0, 103.802155125303 1.27421925078247 0, 103.80215463555 1.27422351576114 0), (103.802135672478 1.27544885574006 0, 103.802136618574 1.27545402600541 0, 103.802145796519 1.27550414963439 0, 103.802154205367 1.27555007338362 0), (103.802874360566 1.27754376430343 0, 103.802889838215 1.27759049934957 0, 103.802902508035 1.2776287541331 0))",TELOK BLANGAH DRIVE
8,kml_9,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PARK</th> <td>Riverside PC</td> </tr><tr bgcolor=""""> <th>PCN_LOOP</th> <td>Northern Explorer Loop</td> </tr><tr bgcolor=""#E3E3F3""> <th>MORE_INFO</th> <td>http://www.nparks.gov.sg/pcn</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>F1DFCA3667E908C6</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20211014175946</td> </tr></table></center>","LINESTRING Z (103.785005854592 1.44150910151729 0, 103.784790587247 1.44164779550771 0, 103.784208079907 1.44209045073029 0, 103.783904937442 1.44236561658302 0, 103.783613681558 1.44264078174897 0, 103.783054950425 1.44301165333453 0)",GREENWOOD PARK
9,kml_10,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PARK</th> <td>Riverside PC</td> </tr><tr bgcolor=""""> <th>PCN_LOOP</th> <td>Northern Explorer Loop</td> </tr><tr bgcolor=""#E3E3F3""> <th>MORE_INFO</th> <td>http://www.nparks.gov.sg/pcn</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>1AC3DCE47F5D1B69</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20211014175946</td> </tr></table></center>","LINESTRING Z (103.782407061903 1.44334663039437 0, 103.781818614839 1.44355000566255 0, 103.781426317266 1.44367561817998 0)",GREENWOOD PARK
