Description,Latitude,Longitude,RackType,RackCount,ShelterIndicator
150015-1,1.2858857411761173,103.81694567321544,HDB_RACKS,4,N
150061-1,1.2898086428606332,103.81393067090953,HDB_RACKS,40,N
DEPOT LANE INDUSTRIAL ESTATE (BLOCK 4001),1.2814260430769229,103.81337362713198,Yellow Box,13,N
150061-2,1.2897298416238188,103.81376103777272,HDB_RACKS,40,N
GILLMAN BARRACKS (BLOCK 10 TOILET),1.2787851330939635,103.80479483906868,Yellow Box,13,N
GILLMAN BARRACKS (BLOCK 22),1.276972201942992,103.804483015703,Yellow Box,13,N
GILLMAN BARRACKS (BLOCK 6),1.277426603046523,103.80431079859346,Yellow Box,12,N
GILLMAN BARRACKS (BLOCK 7),1.277876325162947,103.80463194579013,Yellow Box,13,N
150064-1,1.289506588171888,103.81551609625629,HDB_RACKS,8,N
150078-1,1.2884793925987639,103.81806348550722,HDB_RACKS,5,N
150078-2,1.2884395720097133,103.81891916895304,HDB_RACKS,12,N
150080-1,1.2876380808128003,103.81886971202908,HDB_RACKS,13,N
WESSEX CARPARK,1.2942171192563012,103.79767475088858,Yellow Box,13,N
WESSEX VILLAGE SQUARE,1.2940792027707095,103.79613031637305,Yellow Box,13,N
150119-2,1.2861494716619444,103.80480786337077,HDB_RACKS,2,N
150122-1,1.2866293409499532,103.80425394610843,HDB_RACKS,4,N
ALEXANDRA VIEW 1,1.2904457702480692,103.8185567238314,Yellow Box,10,N
150122-2,1.286335767774649,103.80405762632928,HDB_RACKS,4,N
ALEXANDRA VIEW 2,1.2907022933208399,103.81655406421571,Yellow Box,10,N
150123-1,1.2866011063195475,103.803676195334,HDB_RACKS,3,N
150124-1,1.2858163660279567,103.80346024895279,HDB_RACKS,4,N
151006-1,1.2849185301776676,103.8167776496764,HDB_RACKS,6,N
151013-1,1.285315738326898,103.81718061841464,HDB_RACKS,2,N
151014-1,1.2857438627611004,103.81699760856203,HDB_RACKS,8,N
151055-1,1.2871983915484033,103.81341689659894,HDB_RACKS,32,N
BUS STOP 10109,1.2854196478535307,103.8132676020707,Yellow Box,10,N
BUS STOP 10111,1.28591726570786,103.80913853514251,Yellow Box,10,N
BUS STOP 10181,1.2885130051969569,103.82074080770275,Yellow Box,10,N
BUS STOP 10189,1.2886114217142615,103.82191904711628,Yellow Box,10,N
BUS STOP 10199,1.288721620877341,103.81950382105623,Yellow Box,10,N
BUS STOP 10201,1.289438837111026,103.81648613195193,Yellow Box,16,N
151096-1,1.2878835349824107,103.82190514233011,HDB_RACKS,7,N
BUS STOP 10271,1.2912143658178323,103.8173578973088,Yellow Box,16,N
BUS STOP 10281,1.2915120678699659,103.81457799296051,Yellow Box,20,N
BUS STOP 10339,1.2810697065273609,103.8184873802398,Yellow Box,10,N
BUS STOP 10351,1.2868534889941712,103.8221067924552,Yellow Box,10,N
BUS STOP 10371,1.283565925118904,103.82444334745298,Yellow Box,10,N
BUS STOP 10401,1.2881540367679623,103.81157514939765,Yellow Box,10,N
BUS STOP 10421,1.2888790785649331,103.81508396159023,Yellow Box,10,N
152096-1,1.2880979767142375,103.82133801710148,HDB_RACKS,5,N
BUS STOP 10501,1.2811105314242603,103.82518842208324,Yellow Box,10,N
BUS STOP 11019,1.2868212355343316,103.80544118418699,Yellow Box,10,N
BUS STOP 11021,1.2893702766739314,103.80232142200157,Yellow Box,10,N
